Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-21 11:38:00,919417.0869565217,,
2025-08-21 11:39:00,707655.1565217391,,
2025-08-21 11:40:00,7669.956521739131,,
2025-08-21 11:41:00,8361.478260869564,,
2025-08-21 11:42:00,8072.904347826086,,
2025-08-21 11:43:00,9082.217391304348,,
2025-08-21 11:44:00,9371.139130434782,,
2025-08-21 11:45:00,8644.86956521739,,
2025-08-21 11:46:00,7427.278260869565,,
2025-08-21 11:47:00,9358.391304347826,,
2025-08-21 11:48:00,7970.71304347826,,
2025-08-21 11:58:00,,926054.6956521738,
2025-08-21 11:59:00,,36089.47826086956,
2025-08-21 12:00:00,,10281.539130434781,
2025-08-21 12:01:00,,10898.347826086956,
2025-08-21 12:02:00,,10350.365217391305,
2025-08-21 12:03:00,,10846.913043478262,
2025-08-21 12:04:00,,10319.608695652172,
2025-08-21 12:05:00,,11335.713043478261,
2025-08-21 12:06:00,,11673.88695652174,
2025-08-21 12:07:00,,11353.347826086956,
2025-08-21 12:08:00,,11145.182608695652,
2025-08-21 12:13:00,,,713021770.9391304
2025-08-21 12:14:00,,,1180577785.9652174
2025-08-21 12:15:00,,,1207417217.8086958
2025-08-21 12:16:00,,,1345547233.4173913
2025-08-21 12:17:00,,,1372885686.3913043
2025-08-21 12:18:00,,,1202090381.5217392
2025-08-21 12:19:00,,,1387946515.0434783
2025-08-21 12:20:00,,,1369886619.1043477
2025-08-21 12:21:00,,,1309833340.7391305
2025-08-21 12:22:00,,,1287497060.2086957
2025-08-21 12:23:00,,,1361715341.2956522
