Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-21 09:28:00,14720217.226086956,,
2025-08-21 09:29:00,20468288.330434784,,
2025-08-21 09:30:00,15263185.513043476,,
2025-08-21 09:31:00,18570079.217391305,,
2025-08-21 09:32:00,20155947.495652176,,
2025-08-21 09:33:00,21280751.68695652,,
2025-08-21 09:34:00,22235956.095652174,,
2025-08-21 09:35:00,19411542.12173913,,
2025-08-21 09:36:00,24488675.739130434,,
2025-08-21 09:37:00,24293574.156521738,,
2025-08-21 09:38:00,21279661.060869567,,
2025-08-21 09:42:00,,26457785.63478261,
2025-08-21 09:43:00,,49636574.26956522,
2025-08-21 09:44:00,,56439032.94782608,
2025-08-21 09:45:00,,57224188.313043475,
2025-08-21 09:46:00,,61426044.91304348,
2025-08-21 09:47:00,,64161346.669565216,
2025-08-21 09:48:00,,64254332.23478261,
2025-08-21 09:49:00,,61067256.28695652,
2025-08-21 09:50:00,,61883942.50434782,
2025-08-21 09:51:00,,65819930.8,
2025-08-21 09:52:00,,59967069.860869564,
2025-08-21 09:57:00,,,68434674.20869565
2025-08-21 09:58:00,,,89921023.10434781
2025-08-21 09:59:00,,,96162025.7826087
2025-08-21 10:00:00,,,92899827.44347826
2025-08-21 10:01:00,,,93846025.99130435
2025-08-21 10:02:00,,,98661646.20869565
2025-08-21 10:03:00,,,98585776.30434781
2025-08-21 10:04:00,,,99261984.47826086
2025-08-21 10:05:00,,,93304510.90434782
2025-08-21 10:06:00,,,101480394.44347826
2025-08-21 10:07:00,,,92009745.46086957
