Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-18 09:08:00,145284.91304347824,
2025-08-18 09:09:00,1989171.3565217392,
2025-08-18 09:10:00,1848788.5826086956,
2025-08-18 09:11:00,3210850.269565217,
2025-08-18 09:12:00,5834251.8086956525,
2025-08-18 09:13:00,7454098.869565217,
2025-08-18 09:14:00,7560064.991304348,
2025-08-18 09:15:00,15690704.44347826,
2025-08-18 09:16:00,15425713.44347826,
2025-08-18 09:17:00,21874891.31304348,
2025-08-18 09:18:00,12012308.591304349,
2025-08-18 09:19:00,18178052.504347824,
2025-08-18 09:28:30,,9177.382608695652
2025-08-18 09:29:30,,3809791.347826087
2025-08-18 09:30:30,,7831268.408695652
2025-08-18 09:31:30,,11743505.713043477
2025-08-18 09:32:30,,14504233.539130433
2025-08-18 09:33:30,,15193067.521739129
2025-08-18 09:34:30,,21451196.130434785
2025-08-18 09:35:30,,22439004.72173913
2025-08-18 09:36:30,,25020806.52173913
2025-08-18 09:37:30,,17643395.89565217
2025-08-18 09:38:30,,20752388.27826087
2025-08-18 09:39:30,,24223639.76521739
