Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-18 09:08:00,140204.40869565218,
2025-08-18 09:09:00,140204.40869565218,
2025-08-18 09:10:00,5047430.773913044,
2025-08-18 09:11:00,6867119.860869565,
2025-08-18 09:12:00,3662685.139130435,
2025-08-18 09:13:00,8412031.4,
2025-08-18 09:14:00,8264487.965217391,
2025-08-18 09:15:00,20227788.139130432,
2025-08-18 09:16:00,23686983.965217393,
2025-08-18 09:17:00,21840556.130434785,
2025-08-18 09:18:00,18732695.469565216,
2025-08-18 09:19:00,20012232.026086953,
2025-08-18 09:28:30,,38.59130434782608
2025-08-18 09:29:30,,2868240.504347826
2025-08-18 09:30:30,,8049227.634782609
2025-08-18 09:31:30,,11344613.260869564
2025-08-18 09:32:30,,11473340.295652173
2025-08-18 09:33:30,,16776799.44347826
2025-08-18 09:34:30,,19322803.27826087
2025-08-18 09:35:30,,22660725.295652173
2025-08-18 09:36:30,,23160754.40869565
2025-08-18 09:37:30,,23443150.382608697
2025-08-18 09:38:30,,24840064.347826086
2025-08-18 09:39:30,,24552866.165217392
