Time,{},{}
2025-08-18 09:08:00,9175040.0,
2025-08-18 09:09:00,136380416.0,
2025-08-18 09:10:00,1833959424.0,
2025-08-18 09:11:00,4784963584.0,
2025-08-18 09:12:00,4784963584.0,
2025-08-18 09:13:00,8158150656.0,
2025-08-18 09:14:00,15010709504.0,
2025-08-18 09:15:00,13858734080.0,
2025-08-18 09:16:00,24377638912.0,
2025-08-18 09:17:00,34605432832.0,
2025-08-18 09:18:00,44624429056.0,
2025-08-18 09:19:00,52316520448.0,
2025-08-18 09:28:30,,8716288.0
2025-08-18 09:29:30,,3500867584.0
2025-08-18 09:30:30,,7419199488.0
2025-08-18 09:31:30,,7419199488.0
2025-08-18 09:32:30,,12286427136.0
2025-08-18 09:33:30,,19053084672.0
2025-08-18 09:34:30,,17058545664.0
2025-08-18 09:35:30,,27706097664.0
2025-08-18 09:36:30,,39530594304.0
2025-08-18 09:37:30,,50544476160.0
2025-08-18 09:38:30,,59604959232.0
2025-08-18 09:39:30,,31497568256.0
