Time,"{api=""completemultipartupload"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""deletemultipleobjects"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""deleteobject"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""getbucketlocation"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""getobject"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""headbucket"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""headobject"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""listobjectsv2"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""newmultipartupload"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""putbucket"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""putobject"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""putobjectpart"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""completemultipartupload"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""deletemultipleobjects"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""deleteobject"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""getbucketlocation"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""getobject"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""headbucket"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""headobject"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""listobjectsv2"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""newmultipartupload"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""putbucket"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""putobject"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{api=""putobjectpart"",bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-18 09:08:00,1.0434782608695652,8.347826086956522,0.0,0.0,0.0,0.0,11.478260869565217,13.565217391304348,1.0434782608695652,1.0434782608695652,7.304347826086956,1.0434782608695652,,,,,,,,,,,,
2025-08-18 09:09:00,1.0434782608695652,8.347826086956522,0.0,0.0,0.0,0.0,11.478260869565217,13.565217391304348,1.0434782608695652,0.0,7.304347826086956,1.0434782608695652,,,,,,,,,,,,
2025-08-18 09:10:00,5.217391304347826,28.17391304347826,14.608695652173912,0.0,0.0,0.0,40.69565217391304,44.869565217391305,5.217391304347826,0.0,22.956521739130434,8.347826086956522,,,,,,,,,,,,
2025-08-18 09:11:00,8.347826086956522,38.608695652173914,18.782608695652172,0.0,0.0,0.0,55.30434782608695,59.47826086956522,8.347826086956522,0.0,30.26086956521739,14.608695652173912,,,,,,,,,,,,
2025-08-18 09:12:00,4.173913043478261,21.913043478260867,10.434782608695652,0.0,0.0,0.0,31.304347826086957,33.391304347826086,4.173913043478261,0.0,17.73913043478261,7.304347826086956,,,,,,,,,,,,
2025-08-18 09:13:00,10.434782608695652,41.73913043478261,27.130434782608695,0.0,0.0,0.0,82.43478260869566,85.56521739130434,10.434782608695652,1.0434782608695652,31.304347826086957,19.82608695652174,,,,,,,,,,,,
2025-08-18 09:14:00,10.434782608695652,38.608695652173914,24.0,0.0,0.0,0.0,78.26086956521739,81.39130434782608,15.652173913043478,0.0,28.17391304347826,25.043478260869563,,,,,,,,,,,,
2025-08-18 09:15:00,27.130434782608695,73.04347826086956,59.47826086956522,0.0,0.0,0.0,126.26086956521739,130.43478260869566,35.47826086956522,0.0,45.91304347826087,53.21739130434783,,,,,,,,,,,,
2025-08-18 09:16:00,26.08695652173913,73.04347826086956,67.82608695652173,0.0,0.0,0.0,132.52173913043478,136.69565217391303,27.130434782608695,0.0,46.95652173913043,51.130434782608695,,,,,,,,,,,,
2025-08-18 09:17:00,17.73913043478261,58.43478260869565,58.43478260869565,0.0,0.0,0.0,113.73913043478261,117.91304347826086,14.608695652173912,1.0434782608695652,40.69565217391304,45.91304347826087,,,,,,,,,,,,
2025-08-18 09:18:00,15.652173913043478,54.26086956521739,46.95652173913043,0.0,0.0,0.0,105.39130434782608,109.56521739130434,17.73913043478261,1.0434782608695652,38.608695652173914,40.69565217391304,,,,,,,,,,,,
2025-08-18 09:19:00,18.782608695652172,57.391304347826086,53.21739130434783,0.0,0.0,0.0,110.6086956521739,114.78260869565217,14.608695652173912,0.0,38.608695652173914,39.65217391304348,,,,,,,,,,,,
2025-08-18 09:28:30,,,,,,,,,,,,,0.0,10.434782608695652,0.0,0.0,0.0,0.0,159.65217391304347,194.08695652173913,0.0,1.0434782608695652,10.434782608695652,0.0
2025-08-18 09:29:30,,,,,,,,,,,,,1.0434782608695652,31.304347826086957,4.173913043478261,0.0,0.0,0.0,312.0,229.56521739130434,1.0434782608695652,0.0,30.26086956521739,1.0434782608695652
2025-08-18 09:30:30,,,,,,,,,,,,,5.217391304347826,48.0,22.956521739130434,0.0,0.0,0.0,365.2173913043478,90.78260869565217,5.217391304347826,0.0,42.78260869565217,8.347826086956522
2025-08-18 09:31:30,,,,,,,,,,,,,12.521739130434781,56.34782608695652,39.65217391304348,0.0,0.0,0.0,459.1304347826087,114.78260869565217,12.521739130434781,0.0,43.826086956521735,22.956521739130434
2025-08-18 09:32:30,,,,,,,,,,,,,14.608695652173912,55.30434782608695,43.826086956521735,0.0,0.0,0.0,462.2608695652174,117.91304347826086,14.608695652173912,1.0434782608695652,40.69565217391304,27.130434782608695
2025-08-18 09:33:30,,,,,,,,,,,,,24.0,67.82608695652173,54.26086956521739,0.0,0.0,0.0,567.6521739130435,140.8695652173913,24.0,1.0434782608695652,43.826086956521735,45.91304347826087
2025-08-18 09:34:30,,,,,,,,,,,,,25.043478260869563,67.82608695652173,54.26086956521739,0.0,0.0,0.0,595.8260869565217,139.82608695652175,25.043478260869563,0.0,42.78260869565217,49.04347826086956
2025-08-18 09:35:30,,,,,,,,,,,,,24.0,68.8695652173913,63.65217391304348,0.0,0.0,0.0,660.5217391304348,151.30434782608694,24.0,0.0,44.869565217391305,51.130434782608695
2025-08-18 09:36:30,,,,,,,,,,,,,18.782608695652172,64.69565217391305,69.91304347826087,0.0,0.0,0.0,625.0434782608695,153.3913043478261,18.782608695652172,0.0,45.91304347826087,46.95652173913043
2025-08-18 09:37:30,,,,,,,,,,,,,14.608695652173912,67.82608695652173,60.52173913043478,0.0,0.0,0.0,612.5217391304348,147.1304347826087,15.652173913043478,1.0434782608695652,53.21739130434783,38.608695652173914
2025-08-18 09:38:30,,,,,,,,,,,,,18.782608695652172,75.13043478260869,53.21739130434783,0.0,0.0,0.0,678.2608695652174,147.1304347826087,17.73913043478261,1.0434782608695652,56.34782608695652,40.69565217391304
2025-08-18 09:39:30,,,,,,,,,,,,,24.0,74.08695652173913,66.78260869565217,0.0,0.0,0.0,702.2608695652174,159.65217391304347,22.956521739130434,0.0,50.086956521739125,46.95652173913043
