Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-18 09:08:00,297384.60869565216,
2025-08-18 09:09:00,3980288.947826087,
2025-08-18 09:10:00,3700223.0,
2025-08-18 09:11:00,6421182.2608695645,
2025-08-18 09:12:00,11475942.739130436,
2025-08-18 09:13:00,14895558.730434781,
2025-08-18 09:14:00,15108452.947826087,
2025-08-18 09:15:00,30996320.469565216,
2025-08-18 09:16:00,31491177.626086954,
2025-08-18 09:17:00,43492401.82608696,
2025-08-18 09:18:00,24656403.75652174,
2025-08-18 09:19:00,36793823.13043478,
2025-08-18 09:28:30,,17992.97391304348
2025-08-18 09:29:30,,7604793.24347826
2025-08-18 09:30:30,,15638528.165217392
2025-08-18 09:31:30,,23365120.947826087
2025-08-18 09:32:30,,28961489.052173913
2025-08-18 09:33:30,,30335704.982608695
2025-08-18 09:34:30,,42755230.64347826
2025-08-18 09:35:30,,44892844.69565217
2025-08-18 09:36:30,,49965600.55652174
2025-08-18 09:37:30,,35300318.62608696
2025-08-18 09:38:30,,41529077.82608696
2025-08-18 09:39:30,,48452206.07826087
