Time,{},{}
2025-08-18 09:08:00,16051823.0,
2025-08-18 09:08:05,16051823.0,
2025-08-18 09:08:10,16051823.0,
2025-08-18 09:08:15,74666461.0,
2025-08-18 09:08:20,74666461.0,
2025-08-18 09:08:25,74666461.0,
2025-08-18 09:08:30,133334108.0,
2025-08-18 09:08:35,133334108.0,
2025-08-18 09:08:40,133334108.0,
2025-08-18 09:08:45,133334108.0,
2025-08-18 09:08:50,191248293.0,
2025-08-18 09:08:55,211733657.0,
2025-08-18 09:09:00,211733657.0,
2025-08-18 09:09:05,211733657.0,
2025-08-18 09:09:10,211733657.0,
2025-08-18 09:09:15,274067803.0,
2025-08-18 09:09:20,274067803.0,
2025-08-18 09:09:25,274067803.0,
2025-08-18 09:09:30,321438065.0,
2025-08-18 09:09:35,337310292.0,
2025-08-18 09:09:40,337310292.0,
2025-08-18 09:09:45,337310292.0,
2025-08-18 09:09:50,400385154.0,
2025-08-18 09:09:55,421039070.0,
2025-08-18 09:10:00,420556599.0,
2025-08-18 09:10:05,420556599.0,
2025-08-18 09:10:10,420556599.0,
2025-08-18 09:10:15,483919603.0,
2025-08-18 09:10:20,483919603.0,
2025-08-18 09:10:25,483919603.0,
2025-08-18 09:10:30,547983833.0,
2025-08-18 09:10:35,547983833.0,
2025-08-18 09:10:40,547983833.0,
2025-08-18 09:10:45,547983833.0,
2025-08-18 09:10:50,612704707.0,
2025-08-18 09:10:55,630490136.0,
2025-08-18 09:11:00,635469617.0,
2025-08-18 09:11:05,634906298.0,
2025-08-18 09:11:10,634618707.0,
2025-08-18 09:11:15,701592234.0,
2025-08-18 09:11:20,701592234.0,
2025-08-18 09:11:25,701592234.0,
2025-08-18 09:11:30,752266371.0,
2025-08-18 09:11:35,769247060.0,
2025-08-18 09:11:40,769247060.0,
2025-08-18 09:11:45,769247060.0,
2025-08-18 09:11:50,838408931.0,
2025-08-18 09:11:55,855501332.0,
2025-08-18 09:12:00,861729744.0,
2025-08-18 09:12:05,861729744.0,
2025-08-18 09:12:10,861956447.0,
2025-08-18 09:12:15,931218880.0,
2025-08-18 09:12:20,931071041.0,
2025-08-18 09:12:25,931071041.0,
2025-08-18 09:12:30,999750918.0,
2025-08-18 09:12:35,999750918.0,
2025-08-18 09:12:40,999750918.0,
2025-08-18 09:12:45,999750918.0,
2025-08-18 09:12:50,1068228860.0,
2025-08-18 09:12:55,1091571964.0,
