Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_3_12"",instance=""10.42.3.12:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_3_14"",instance=""10.42.3.14:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_3_15"",instance=""10.42.3.15:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-07-16 12:00:00,0.185,,
2025-07-16 12:00:05,0.11,,
2025-07-16 12:00:10,0.1195,,
2025-07-16 12:00:15,0.115,,
2025-07-16 12:00:20,0.1015,,
2025-07-16 12:00:25,0.1045,,
2025-07-16 12:00:30,0.1415,,
2025-07-16 12:00:35,0.095,,
2025-07-16 12:00:40,0.097,,
2025-07-16 12:00:45,0.101,,
2025-07-16 12:00:50,0.1275,,
2025-07-16 12:00:55,0.106,,
2025-07-16 12:01:00,0.1895,,
2025-07-16 12:01:05,0.1235,,
2025-07-16 12:01:10,0.101,,
2025-07-16 12:01:15,0.0955,,
2025-07-16 12:01:20,0.1045,,
2025-07-16 12:01:25,0.0975,,
2025-07-16 12:01:30,0.1385,,
2025-07-16 12:01:35,0.096,,
2025-07-16 12:01:40,0.0975,,
2025-07-16 12:01:45,0.0975,,
2025-07-16 12:01:50,0.1285,,
2025-07-16 12:01:55,0.1055,,
2025-07-16 12:02:00,0.168,,
2025-07-16 12:02:05,0.104,,
2025-07-16 12:02:10,0.0975,,
2025-07-16 12:02:15,0.102,,
2025-07-16 12:02:20,0.1045,,
2025-07-16 12:02:25,0.0945,,
2025-07-16 12:02:30,0.1455,,
2025-07-16 12:02:35,0.1075,,
2025-07-16 12:02:40,0.1015,,
2025-07-16 12:02:45,0.097,,
2025-07-16 12:02:50,0.1245,,
2025-07-16 12:02:55,0.095,,
2025-07-16 12:03:00,0.194,,
2025-07-16 12:03:05,0.0965,,
2025-07-16 12:03:10,0.0965,,
2025-07-16 12:03:15,0.0955,,
2025-07-16 12:03:20,0.105,,
2025-07-16 12:03:25,0.0955,,
2025-07-16 12:03:30,0.1605,,
2025-07-16 12:03:35,0.0955,,
2025-07-16 12:03:40,0.095,,
2025-07-16 12:03:45,0.0995,,
2025-07-16 12:03:50,0.1285,,
2025-07-16 12:03:55,0.095,,
2025-07-16 12:04:00,0.195,,
2025-07-16 12:04:05,0.1015,,
2025-07-16 12:04:10,0.0975,,
2025-07-16 12:04:15,0.096,,
2025-07-16 12:04:20,0.1085,,
2025-07-16 12:04:25,0.0955,,
2025-07-16 12:04:30,0.156,,
2025-07-16 12:04:35,0.099,,
2025-07-16 12:04:40,0.102,,
2025-07-16 12:04:45,0.0945,,
2025-07-16 12:04:50,0.125,,
2025-07-16 12:04:55,0.0965,,
2025-07-16 12:05:00,0.1735,,
2025-07-16 12:20:00,,0.11,
2025-07-16 12:20:05,,0.1245,
2025-07-16 12:20:10,,0.122,
2025-07-16 12:20:15,,0.108,
2025-07-16 12:20:20,,0.2515,
2025-07-16 12:20:25,,0.114,
2025-07-16 12:20:30,,0.113,
2025-07-16 12:20:35,,0.127,
2025-07-16 12:20:40,,0.1295,
2025-07-16 12:20:45,,0.108,
2025-07-16 12:20:50,,0.149,
2025-07-16 12:20:55,,0.1045,
2025-07-16 12:21:00,,0.112,
2025-07-16 12:21:05,,0.123,
2025-07-16 12:21:10,,0.1245,
2025-07-16 12:21:15,,0.1085,
2025-07-16 12:21:20,,0.2185,
2025-07-16 12:21:25,,0.111,
2025-07-16 12:21:30,,0.112,
2025-07-16 12:21:35,,0.1215,
2025-07-16 12:21:40,,0.126,
2025-07-16 12:21:45,,0.108,
2025-07-16 12:21:50,,0.138,
2025-07-16 12:21:55,,0.109,
2025-07-16 12:22:00,,0.1115,
2025-07-16 12:22:05,,0.126,
2025-07-16 12:22:10,,0.1255,
2025-07-16 12:22:15,,0.1185,
