Time,{},{},{},{},{}
2025-08-08 14:01:00,87783109.0,,,,
2025-08-08 14:01:05,80173336.0,,,,
2025-08-08 14:01:10,80173336.0,,,,
2025-08-08 14:01:15,107965451.0,,,,
2025-08-08 14:01:20,107965451.0,,,,
2025-08-08 14:01:25,107965451.0,,,,
2025-08-08 14:01:30,107965451.0,,,,
2025-08-08 14:01:35,147487722.0,,,,
2025-08-08 14:01:40,147487722.0,,,,
2025-08-08 14:01:45,175224323.0,,,,
2025-08-08 14:01:50,175224323.0,,,,
2025-08-08 14:01:55,175224323.0,,,,
2025-08-08 14:02:00,175224323.0,,,,
2025-08-08 14:02:05,127647117.0,,,,
2025-08-08 14:02:10,99245272.0,,,,
2025-08-08 14:02:15,127186024.0,,,,
2025-08-08 14:02:20,127186024.0,,,,
2025-08-08 14:02:25,127186024.0,,,,
2025-08-08 14:02:30,127186024.0,,,,
2025-08-08 14:02:35,166668173.0,,,,
2025-08-08 14:02:40,166668173.0,,,,
2025-08-08 14:02:45,194416317.0,,,,
2025-08-08 14:02:50,194416317.0,,,,
2025-08-08 14:02:55,194416317.0,,,,
2025-08-08 14:03:00,194416317.0,,,,
2025-08-08 14:03:05,135843859.0,,,,
2025-08-08 14:03:10,103474475.0,,,,
2025-08-08 14:03:15,131336958.0,,,,
2025-08-08 14:03:20,131336958.0,,,,
2025-08-08 14:03:25,131336958.0,,,,
2025-08-08 14:03:30,131336958.0,,,,
2025-08-08 14:03:35,171149881.0,,,,
2025-08-08 14:03:40,171149881.0,,,,
2025-08-08 14:03:45,198963946.0,,,,
2025-08-08 14:03:50,198963946.0,,,,
2025-08-08 14:03:55,198963946.0,,,,
2025-08-08 14:04:00,198963946.0,,,,
2025-08-08 14:04:05,171821207.0,,,,
2025-08-08 14:04:10,104489745.0,,,,
2025-08-08 14:04:15,132286202.0,,,,
2025-08-08 14:04:20,132286202.0,,,,
2025-08-08 14:04:25,132286202.0,,,,
2025-08-08 14:04:30,132286202.0,,,,
2025-08-08 14:04:35,171853024.0,,,,
2025-08-08 14:04:40,171853024.0,,,,
2025-08-08 14:04:45,199771220.0,,,,
2025-08-08 14:04:50,199771220.0,,,,
2025-08-08 14:04:55,199771220.0,,,,
2025-08-08 14:05:00,199771220.0,,,,
2025-08-08 14:05:05,172136967.0,,,,
2025-08-08 14:05:10,104704582.0,,,,
2025-08-08 14:05:15,132634951.0,,,,
2025-08-08 14:05:20,132634951.0,,,,
2025-08-08 14:05:25,132634951.0,,,,
2025-08-08 14:05:30,132634951.0,,,,
2025-08-08 14:05:35,172137771.0,,,,
2025-08-08 14:05:40,172137771.0,,,,
2025-08-08 14:05:45,199878707.0,,,,
2025-08-08 14:05:50,199878707.0,,,,
2025-08-08 14:05:55,199878707.0,,,,
2025-08-08 14:06:00,199878707.0,,,,
2025-08-08 14:06:05,138169056.0,,,,
2025-08-08 14:06:10,104755581.0,,,,
2025-08-08 14:06:15,132593887.0,,,,
2025-08-08 14:06:20,132593887.0,,,,
2025-08-08 14:06:25,132593887.0,,,,
2025-08-08 14:06:30,132593887.0,,,,
2025-08-08 14:06:35,172317686.0,,,,
2025-08-08 14:06:40,172317686.0,,,,
2025-08-08 14:06:45,200260750.0,,,,
2025-08-08 14:06:50,200260750.0,,,,
2025-08-08 14:06:55,200260750.0,,,,
2025-08-08 14:07:00,200260750.0,,,,
2025-08-08 14:07:05,206148902.0,,,,
2025-08-08 14:07:10,104765025.0,,,,
2025-08-08 14:07:15,132701757.0,,,,
2025-08-08 14:07:20,132701757.0,,,,
2025-08-08 14:07:25,132701757.0,,,,
2025-08-08 14:07:30,132701757.0,,,,
2025-08-08 14:07:35,172460295.0,,,,
2025-08-08 14:07:40,172460295.0,,,,
2025-08-08 14:07:45,200351940.0,,,,
2025-08-08 14:07:50,200351940.0,,,,
2025-08-08 14:07:55,200351940.0,,,,
2025-08-08 14:08:00,200351940.0,,,,
2025-08-08 14:08:05,171926236.0,,,,
2025-08-08 14:08:10,104767259.0,,,,
2025-08-08 14:08:15,132727976.0,,,,
2025-08-08 14:08:20,132727976.0,,,,
2025-08-08 14:08:25,132727976.0,,,,
2025-08-08 14:08:30,132727976.0,,,,
2025-08-08 14:08:35,172244353.0,,,,
2025-08-08 14:08:40,172244353.0,,,,
2025-08-08 14:08:45,199972416.0,,,,
2025-08-08 14:08:50,199972416.0,,,,
2025-08-08 14:08:55,199972416.0,,,,
2025-08-08 14:09:00,199972416.0,,,,
2025-08-08 14:09:05,171783173.0,,,,
2025-08-08 14:09:10,104770307.0,,,,
2025-08-08 14:09:15,132703860.0,,,,
2025-08-08 14:09:20,132703860.0,,,,
2025-08-08 14:09:25,132703860.0,,,,
2025-08-08 14:09:30,132703860.0,,,,
2025-08-08 14:09:35,172480210.0,,,,
2025-08-08 14:09:40,172480210.0,,,,
2025-08-08 14:09:45,200299757.0,,,,
2025-08-08 14:09:50,200299757.0,,,,
2025-08-08 14:09:55,200299757.0,,,,
2025-08-08 14:10:00,200299757.0,,,,
2025-08-08 14:10:05,171896704.0,,,,
2025-08-08 14:10:10,104771384.0,,,,
2025-08-08 14:10:15,132732959.0,,,,
2025-08-08 14:10:20,132732959.0,,,,
2025-08-08 14:10:25,132732959.0,,,,
2025-08-08 14:10:30,132732959.0,,,,
2025-08-08 14:10:35,172334275.0,,,,
2025-08-08 14:10:40,172334275.0,,,,
2025-08-08 14:10:45,200063519.0,,,,
2025-08-08 14:10:50,200063519.0,,,,
2025-08-08 14:10:55,200063519.0,,,,
2025-08-08 14:11:00,200063519.0,,,,
2025-08-08 14:16:30,,89104027.0,,,
2025-08-08 14:16:35,,111992666.0,,,
2025-08-08 14:16:40,,111992666.0,,,
2025-08-08 14:16:45,,136523342.0,,,
2025-08-08 14:16:50,,147959831.0,,,
2025-08-08 14:16:55,,100411939.0,,,
2025-08-08 14:17:00,,100411939.0,,,
2025-08-08 14:17:05,,123013333.0,,,
2025-08-08 14:17:10,,123013333.0,,,
2025-08-08 14:17:15,,147578425.0,,,
2025-08-08 14:17:20,,153338565.0,,,
2025-08-08 14:17:25,,105234347.0,,,
2025-08-08 14:17:30,,105234347.0,,,
2025-08-08 14:17:35,,128233105.0,,,
2025-08-08 14:17:40,,128233105.0,,,
2025-08-08 14:17:45,,152392650.0,,,
2025-08-08 14:17:50,,169598441.0,,,
2025-08-08 14:17:55,,108522784.0,,,
2025-08-08 14:18:00,,108522784.0,,,
2025-08-08 14:18:05,,131219670.0,,,
2025-08-08 14:18:10,,131219670.0,,,
2025-08-08 14:18:15,,155922868.0,,,
2025-08-08 14:18:20,,161614881.0,,,
2025-08-08 14:18:25,,109261725.0,,,
2025-08-08 14:18:30,,109261725.0,,,
2025-08-08 14:18:35,,131962775.0,,,
2025-08-08 14:18:40,,131962775.0,,,
2025-08-08 14:18:45,,156464177.0,,,
2025-08-08 14:18:50,,167911052.0,,,
2025-08-08 14:18:55,,109905928.0,,,
2025-08-08 14:19:00,,109905928.0,,,
2025-08-08 14:19:05,,132644629.0,,,
2025-08-08 14:19:10,,132644629.0,,,
2025-08-08 14:19:15,,157639021.0,,,
2025-08-08 14:19:20,,163363517.0,,,
2025-08-08 14:19:25,,109707713.0,,,
2025-08-08 14:19:30,,109707713.0,,,
2025-08-08 14:19:35,,132535421.0,,,
2025-08-08 14:19:40,,132535421.0,,,
2025-08-08 14:19:45,,156924395.0,,,
2025-08-08 14:19:50,,149284061.0,,,
2025-08-08 14:19:55,,110636287.0,,,
2025-08-08 14:20:00,,110636287.0,,,
2025-08-08 14:20:05,,133562512.0,,,
2025-08-08 14:20:10,,133562512.0,,,
2025-08-08 14:20:15,,157977512.0,,,
2025-08-08 14:20:20,,163634867.0,,,
2025-08-08 14:20:25,,110720411.0,,,
2025-08-08 14:20:30,,110720411.0,,,
2025-08-08 14:20:35,,133484402.0,,,
2025-08-08 14:20:40,,133484402.0,,,
2025-08-08 14:20:45,,157616821.0,,,
2025-08-08 14:20:50,,168965168.0,,,
2025-08-08 14:20:55,,110736509.0,,,
2025-08-08 14:21:00,,110736509.0,,,
2025-08-08 14:21:05,,133428971.0,,,
2025-08-08 14:21:10,,133428971.0,,,
2025-08-08 14:21:15,,158595373.0,,,
2025-08-08 14:21:20,,164313519.0,,,
2025-08-08 14:21:25,,108355652.0,,,
2025-08-08 14:21:30,,108355652.0,,,
2025-08-08 14:21:35,,131246320.0,,,
2025-08-08 14:21:40,,131246320.0,,,
2025-08-08 14:21:45,,155360814.0,,,
2025-08-08 14:21:50,,167077934.0,,,
2025-08-08 14:21:55,,109209426.0,,,
2025-08-08 14:22:00,,109209426.0,,,
2025-08-08 14:22:05,,131989765.0,,,
2025-08-08 14:22:10,,131989765.0,,,
2025-08-08 14:22:15,,156996708.0,,,
2025-08-08 14:22:20,,162697075.0,,,
2025-08-08 14:22:25,,108303317.0,,,
2025-08-08 14:22:30,,108303317.0,,,
2025-08-08 14:22:35,,131045253.0,,,
2025-08-08 14:22:40,,131045253.0,,,
2025-08-08 14:22:45,,155289761.0,,,
2025-08-08 14:22:50,,161040447.0,,,
2025-08-08 14:22:55,,108644950.0,,,
2025-08-08 14:23:00,,108644950.0,,,
2025-08-08 14:23:05,,131240205.0,,,
2025-08-08 14:23:10,,131240205.0,,,
2025-08-08 14:23:15,,156103691.0,,,
2025-08-08 14:23:20,,161803165.0,,,
2025-08-08 14:23:25,,108801023.0,,,
2025-08-08 14:23:30,,108801023.0,,,
2025-08-08 14:23:35,,131383682.0,,,
2025-08-08 14:23:40,,131383682.0,,,
2025-08-08 14:23:45,,156097468.0,,,
2025-08-08 14:23:50,,156097468.0,,,
2025-08-08 14:23:55,,108281344.0,,,
