Time,{},{},{},{},{}
2025-07-23 12:17:30,,42907880.0,,,
2025-07-23 12:17:35,,42907880.0,,,
2025-07-23 12:17:40,,42907880.0,,,
2025-07-23 12:17:45,,42907880.0,,,
2025-07-23 12:17:50,,50346438.0,,,
2025-07-23 12:17:55,,50346438.0,,,
2025-07-23 12:18:00,,50346438.0,,,
2025-07-23 12:18:05,,50346438.0,,,
2025-07-23 12:18:10,,50346438.0,,,
2025-07-23 12:18:15,,50346438.0,,,
2025-07-23 12:18:20,,57764652.0,,,
2025-07-23 12:18:25,,57764652.0,,,
2025-07-23 12:18:30,,57764652.0,,,
2025-07-23 12:18:35,,57764652.0,,,
2025-07-23 12:18:40,,57764652.0,,,
2025-07-23 12:18:45,,57764652.0,,,
2025-07-23 12:18:50,,65169424.0,,,
2025-07-23 12:18:55,,65169424.0,,,
2025-07-23 12:19:00,,65169424.0,,,
2025-07-23 12:19:05,,65169424.0,,,
2025-07-23 12:19:10,,65169424.0,,,
2025-07-23 12:19:15,,65169424.0,,,
2025-07-23 12:19:20,,58314097.0,,,
2025-07-23 12:19:25,,58314097.0,,,
2025-07-23 12:19:30,,58314097.0,,,
2025-07-23 12:19:35,,58314097.0,,,
2025-07-23 12:19:40,,58314097.0,,,
2025-07-23 12:19:45,,58314097.0,,,
2025-07-23 12:19:50,,65699547.0,,,
2025-07-23 12:19:55,,65699547.0,,,
2025-07-23 12:20:00,,65699547.0,,,
2025-07-23 12:20:05,,65699547.0,,,
2025-07-23 12:20:10,,65699547.0,,,
2025-07-23 12:20:15,,65699547.0,,,
2025-07-23 12:20:20,,73079800.0,,,
2025-07-23 12:20:25,,73079800.0,,,
2025-07-23 12:20:30,,73079800.0,,,
2025-07-23 12:20:35,,73079800.0,,,
2025-07-23 12:20:40,,73079800.0,,,
2025-07-23 12:20:45,,73079800.0,,,
2025-07-23 12:20:50,,80509210.0,,,
2025-07-23 12:20:55,,80509210.0,,,
2025-07-23 12:21:00,,80509210.0,,,
2025-07-23 12:35:00,,,,9291887.0,
2025-07-23 12:35:05,,,,9291887.0,
2025-07-23 12:35:10,,,,9291887.0,
2025-07-23 12:35:15,,,,9291887.0,
2025-07-23 12:35:20,,,,16708049.0,
2025-07-23 12:35:25,,,,16708049.0,
2025-07-23 12:35:30,,,,16708049.0,
2025-07-23 12:35:35,,,,16708049.0,
2025-07-23 12:35:40,,,,16708049.0,
2025-07-23 12:35:45,,,,16708049.0,
2025-07-23 12:35:50,,,,22220957.0,
2025-07-23 12:35:55,,,,22220957.0,
2025-07-23 12:36:00,,,,22220957.0,
2025-07-23 12:36:05,,,,22220957.0,
2025-07-23 12:36:10,,,,22220957.0,
2025-07-23 12:36:15,,,,22220957.0,
2025-07-23 12:36:20,,,,29620694.0,
2025-07-23 12:36:25,,,,29620694.0,
2025-07-23 12:36:30,,,,29620694.0,
2025-07-23 12:36:35,,,,29620694.0,
2025-07-23 12:36:40,,,,29620694.0,
2025-07-23 12:36:45,,,,29620694.0,
2025-07-23 12:36:50,,,,37036855.0,
2025-07-23 12:36:55,,,,37036855.0,
2025-07-23 12:37:00,,,,37036855.0,
2025-07-23 12:37:05,,,,37036855.0,
2025-07-23 12:37:10,,,,37036855.0,
2025-07-23 12:37:15,,,,37036855.0,
2025-07-23 12:37:20,,,,44429379.0,
2025-07-23 12:37:25,,,,44429379.0,
2025-07-23 12:37:30,,,,44429379.0,
2025-07-23 12:37:35,,,,44429379.0,
2025-07-23 12:37:40,,,,44429379.0,
2025-07-23 12:37:45,,,,44429379.0,
2025-07-23 12:37:50,,,,43141425.0,
2025-07-23 12:37:55,,,,43141425.0,
2025-07-23 12:38:00,,,,43141425.0,
2025-07-23 12:38:05,,,,43141425.0,
2025-07-23 12:38:10,,,,43141425.0,
2025-07-23 12:38:15,,,,43141425.0,
2025-07-23 12:38:20,,,,50543207.0,
2025-07-23 12:38:25,,,,50543207.0,
2025-07-23 12:38:30,,,,50543207.0,
2025-07-23 12:38:35,,,,50543207.0,
2025-07-23 12:38:40,,,,50543207.0,
2025-07-23 12:38:45,,,,50543207.0,
2025-07-23 12:38:50,,,,57950048.0,
2025-07-23 12:38:55,,,,57950048.0,
2025-07-23 12:39:00,,,,57950048.0,
2025-07-23 12:39:05,,,,57950048.0,
2025-07-23 12:39:10,,,,57950048.0,
