Time,"{pod=""myminio-pool-0-0""}","{pod=""myminio-pool-0-0""}","{pod=""myminio-pool-0-0""}","{pod=""myminio-pool-0-0""}","{pod=""myminio-pool-0-0""}"
2025-07-23 12:17:30,,367355.54978659074,,,
2025-07-23 12:17:35,,367355.54978659074,,,
2025-07-23 12:17:40,,367355.54978659074,,,
2025-07-23 12:17:45,,356041.346032007,,,
2025-07-23 12:17:50,,356041.346032007,,,
2025-07-23 12:17:55,,395528.49744875636,,,
2025-07-23 12:18:00,,395528.49744875636,,,
2025-07-23 12:18:05,,395528.49744875636,,,
2025-07-23 12:18:10,,395528.49744875636,,,
2025-07-23 12:18:15,,395528.49744875636,,,
2025-07-23 12:18:20,,378976.556425848,,,
2025-07-23 12:18:25,,424416.19599361066,,,
2025-07-23 12:18:30,,424416.19599361066,,,
2025-07-23 12:18:35,,424416.1959936106,,,
2025-07-23 12:18:40,,424416.1959936106,,,
2025-07-23 12:18:45,,424416.1959936106,,,
2025-07-23 12:18:50,,397632.54739392345,,,
2025-07-23 12:18:55,,415371.87,,,
2025-07-23 12:19:00,,441752.63615306286,,,
2025-07-23 12:19:05,,441752.63615306286,,,
2025-07-23 12:19:10,,441752.63615306286,,,
2025-07-23 12:19:15,,441752.63615306286,,,
2025-07-23 12:19:20,,441752.63615306286,,,
2025-07-23 12:19:25,,632210.2148554882,,,
2025-07-23 12:19:30,,692772.805217756,,,
2025-07-23 12:19:35,,692772.805217756,,,
2025-07-23 12:19:40,,692772.805217756,,,
2025-07-23 12:19:45,,692772.805217756,,,
2025-07-23 12:19:50,,692772.805217756,,,
2025-07-23 12:19:55,,710942.0932454416,,,
2025-07-23 12:20:00,,710942.0932454416,,,
2025-07-23 12:20:05,,710942.0932454416,,,
2025-07-23 12:20:10,,710942.0932454416,,,
2025-07-23 12:20:15,,710942.0932454416,,,
2025-07-23 12:20:20,,710942.0932454416,,,
2025-07-23 12:20:25,,633151.9735845851,,,
2025-07-23 12:20:30,,633151.9735845851,,,
2025-07-23 12:20:35,,633151.9735845851,,,
2025-07-23 12:20:40,,633151.9735845851,,,
2025-07-23 12:20:45,,633151.9735845851,,,
2025-07-23 12:20:50,,607477.4417602991,,,
2025-07-23 12:20:55,,627284.333523567,,,
2025-07-23 12:21:00,,627284.333523567,,,
2025-07-23 12:35:00,,,,420262.41521702573,
2025-07-23 12:35:05,,,,420262.41521702573,
2025-07-23 12:35:10,,,,420262.41521702573,
2025-07-23 12:35:15,,,,420262.41521702573,
2025-07-23 12:35:20,,,,420262.41521702573,
2025-07-23 12:35:25,,,,408663.1895891809,
2025-07-23 12:35:30,,,,248362.36654352257,
2025-07-23 12:35:35,,,,248362.36654352257,
2025-07-23 12:35:40,,,,248362.36654352257,
2025-07-23 12:35:45,,,,69883.77434193116,
2025-07-23 12:35:50,,,,74559.54308813113,
2025-07-23 12:35:55,,,,177109.93996389746,
2025-07-23 12:36:00,,,,177109.93996389746,
2025-07-23 12:36:05,,,,177109.93996389746,
2025-07-23 12:36:10,,,,177109.93996389746,
