Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-08 12:48:00,1087326.0695652172,,,,
2025-08-08 12:49:00,1279796.843478261,,,,
2025-08-08 12:50:00,1578283.4695652174,,,,
2025-08-08 12:51:00,1755704.695652174,,,,
2025-08-08 12:52:00,2000823.6434782608,,,,
2025-08-08 12:53:00,2111133.2,,,,
2025-08-08 12:56:00,,2507112.4695652174,,,
2025-08-08 12:57:00,,1665580.1739130435,,,
2025-08-08 12:58:00,,34071.55652173913,,,
2025-08-08 12:59:00,,0.0,,,
2025-08-08 13:00:00,,5.304347826086956,,,
2025-08-08 13:01:00,,115857.8347826087,,,
2025-08-08 13:04:00,,,668430.1739130435,,
2025-08-08 13:05:00,,,668501.7217391304,,
2025-08-08 13:06:00,,,800112.304347826,,
2025-08-08 13:07:00,,,800395.8260869565,,
2025-08-08 13:08:00,,,583366.7478260869,,
2025-08-08 13:09:00,,,899377.3304347825,,
2025-08-08 13:12:00,,,,193347.17391304346,
2025-08-08 13:13:00,,,,59755.98260869565,
2025-08-08 13:14:00,,,,0.0,
2025-08-08 13:15:00,,,,38.59130434782608,
2025-08-08 13:16:00,,,,118694.11304347825,
2025-08-08 13:17:00,,,,475247.05217391305,
2025-08-08 13:20:00,,,,,667688.4782608695
2025-08-08 13:21:00,,,,,801187.8695652173
2025-08-08 13:22:00,,,,,800831.8
2025-08-08 13:23:00,,,,,898656.1217391305
2025-08-08 13:24:00,,,,,898885.6086956521
2025-08-08 13:25:00,,,,,971936.1565217391
