Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-08 12:48:00,1118752.608695652,,,,
2025-08-08 12:49:00,1311936.0173913045,,,,
2025-08-08 12:50:00,1643731.156521739,,,,
2025-08-08 12:51:00,1786672.295652174,,,,
2025-08-08 12:52:00,2032024.1217391305,,,,
2025-08-08 12:53:00,2143667.2869565217,,,,
2025-08-08 12:56:00,,2539736.7130434783,,,
2025-08-08 12:57:00,,1687199.4260869564,,,
2025-08-08 12:58:00,,40753.852173913045,,,
2025-08-08 12:59:00,,3824.5217391304345,,,
2025-08-08 13:00:00,,4976.286956521739,,,
2025-08-08 13:01:00,,84843231.20869565,,,
2025-08-08 13:04:00,,,655803607.121739,,
2025-08-08 13:05:00,,,682996953.5304348,,
2025-08-08 13:06:00,,,694375751.1652173,,
2025-08-08 13:07:00,,,745911560.6173913,,
2025-08-08 13:08:00,,,782005984.3652173,,
2025-08-08 13:09:00,,,695945652.7913042,,
2025-08-08 13:12:00,,,,389195509.46086955,
2025-08-08 13:13:00,,,,126454511.96521738,
2025-08-08 13:14:00,,,,4794.71304347826,
2025-08-08 13:15:00,,,,9920.860869565218,
2025-08-08 13:16:00,,,,132036.3304347826,
2025-08-08 13:17:00,,,,488611.30434782605,
2025-08-08 13:20:00,,,,,685027.1043478261
2025-08-08 13:21:00,,,,,818494.9130434783
2025-08-08 13:22:00,,,,,817654.7478260869
2025-08-08 13:23:00,,,,,915727.1913043478
2025-08-08 13:24:00,,,,,915928.9652173913
2025-08-08 13:25:00,,,,,988411.808695652
