Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-08 12:48:00,2196678.539130435,,,,
2025-08-08 12:49:00,2582172.2347826087,,,,
2025-08-08 12:50:00,3245422.878260869,,,,
2025-08-08 12:51:00,3531605.0956521737,,,,
2025-08-08 12:52:00,4022142.547826087,,,,
2025-08-08 12:53:00,4243834.530434783,,,,
2025-08-08 12:56:00,,5034334.634782609,,,
2025-08-08 12:57:00,,3349829.9217391303,,,
2025-08-08 12:58:00,,85277.80869565216,,,
2025-08-08 12:59:00,,15377.643478260869,,,
2025-08-08 13:00:00,,16993.44347826087,,,
2025-08-08 13:01:00,,6421163.904347826,,,
2025-08-08 13:04:00,,,40263462.95652174,,
2025-08-08 13:05:00,,,42936491.50434782,,
2025-08-08 13:06:00,,,44084896.94782608,,
2025-08-08 13:07:00,,,46815828.58260869,,
2025-08-08 13:08:00,,,49273748.83478261,,
2025-08-08 13:09:00,,,46437913.13043478,,
2025-08-08 13:12:00,,,,26961477.286956523,
2025-08-08 13:13:00,,,,8669050.0,
2025-08-08 13:14:00,,,,17386.504347826085,
2025-08-08 13:15:00,,,,18681.347826086956,
2025-08-08 13:16:00,,,,257207.6,
2025-08-08 13:17:00,,,,970732.1130434782,
2025-08-08 13:20:00,,,,,1355730.5739130436
2025-08-08 13:21:00,,,,,1622446.1739130435
2025-08-08 13:22:00,,,,,1620027.4347826086
2025-08-08 13:23:00,,,,,1816347.243478261
2025-08-08 13:24:00,,,,,1817259.6
2025-08-08 13:25:00,,,,,1962168.747826087
