Time,{},{},{},{},{}
2025-08-08 12:48:00,14296012.733304223,,,,
2025-08-08 12:48:05,14191165.533326307,,,,
2025-08-08 12:48:10,14865039.059308808,,,,
2025-08-08 12:48:15,15101105.919643058,,,,
2025-08-08 12:48:20,14564270.362452038,,,,
2025-08-08 12:48:25,10538346.643262994,,,,
2025-08-08 12:48:30,2495769.367217159,,,,
2025-08-08 12:48:35,626676.403787302,,,,
2025-08-08 12:48:40,626676.403787302,,,,
2025-08-08 12:48:45,614413.3555015157,,,,
2025-08-08 12:48:50,609915.7812880246,,,,
2025-08-08 12:48:55,561782.7484763478,,,,
2025-08-08 12:49:00,534820.2441472147,,,,
2025-08-08 12:49:05,547680.2150029269,,,,
2025-08-08 12:49:10,547680.2150029269,,,,
2025-08-08 12:49:15,534906.6448871664,,,,
2025-08-08 12:49:20,485950.02395119733,,,,
2025-08-08 12:49:25,513323.24843794515,,,,
2025-08-08 12:49:30,542224.293916251,,,,
2025-08-08 12:49:35,546401.4798863279,,,,
2025-08-08 12:49:40,546401.4798863279,,,,
2025-08-08 12:49:45,549141.6272599368,,,,
2025-08-08 12:49:50,550617.0270848346,,,,
2025-08-08 12:49:55,549527.8986394305,,,,
2025-08-08 12:50:00,547848.575513861,,,,
2025-08-08 12:50:05,547555.801361961,,,,
2025-08-08 12:50:10,547555.801361961,,,,
2025-08-08 12:50:15,547371.1592135532,,,,
2025-08-08 12:50:20,531426.0317408291,,,,
2025-08-08 12:50:25,528876.9113647655,,,,
2025-08-08 12:50:30,552174.0261466159,,,,
2025-08-08 12:50:35,549525.6905895162,,,,
2025-08-08 12:50:40,549525.6905895162,,,,
2025-08-08 12:50:45,527155.7726012631,,,,
2025-08-08 12:50:50,524730.5872576545,,,,
2025-08-08 12:50:55,492812.5389298774,,,,
2025-08-08 12:51:00,530697.9713086935,,,,
2025-08-08 12:51:05,530880.507724564,,,,
2025-08-08 12:51:10,530880.507724564,,,,
2025-08-08 12:51:15,530797.2038688137,,,,
2025-08-08 12:51:20,504661.78946956724,,,,
2025-08-08 12:51:25,525221.0045456713,,,,
2025-08-08 12:51:30,553961.5827661753,,,,
2025-08-08 12:51:35,553930.4884011172,,,,
2025-08-08 12:51:40,553930.4884011172,,,,
2025-08-08 12:51:45,553544.2140074322,,,,
2025-08-08 12:51:50,552936.1745308395,,,,
2025-08-08 12:51:55,549174.7728532009,,,,
2025-08-08 12:52:00,538577.9736310509,,,,
2025-08-08 12:52:05,552085.6689043618,,,,
2025-08-08 12:52:10,552085.6689043618,,,,
2025-08-08 12:52:15,551789.8969280019,,,,
2025-08-08 12:52:20,550475.87679703,,,,
2025-08-08 12:52:25,552580.5581390946,,,,
2025-08-08 12:52:30,553572.6517995602,,,,
2025-08-08 12:52:35,553527.8264096982,,,,
2025-08-08 12:52:40,553527.8264096982,,,,
2025-08-08 12:52:45,553513.3689617219,,,,
2025-08-08 12:52:50,510784.0433085808,,,,
2025-08-08 12:52:55,533221.6039818167,,,,
2025-08-08 12:53:00,541392.6511223384,,,,
2025-08-08 12:56:00,,9852532.888058783,,,
2025-08-08 12:56:05,,7961400.001989989,,,
2025-08-08 12:56:10,,8007199.655174287,,,
2025-08-08 12:56:15,,6036179.714784001,,,
2025-08-08 12:56:20,,5810107.253106127,,,
2025-08-08 12:56:25,,516159.5244869894,,,
2025-08-08 12:56:30,,548045.663895966,,,
2025-08-08 12:56:35,,548026.4770038035,,,
2025-08-08 12:56:40,,548026.4770038035,,,
2025-08-08 12:56:45,,536845.8713279698,,,
2025-08-08 12:56:50,,526589.654757535,,,
2025-08-08 12:56:55,,532383.4357073241,,,
2025-08-08 12:57:00,,549349.2582324378,,,
2025-08-08 12:57:05,,549349.2582324378,,,
2025-08-08 12:57:10,,549349.2582324378,,,
2025-08-08 12:57:15,,541291.1603042042,,,
2025-08-08 12:57:20,,554963.0623947165,,,
2025-08-08 12:57:25,,553176.3114388294,,,
2025-08-08 12:57:30,,547667.0973877554,,,
2025-08-08 12:57:35,,547745.1041958443,,,
2025-08-08 12:57:40,,547745.1041958443,,,
2025-08-08 12:57:45,,547547.1799053428,,,
2025-08-08 12:57:50,,512720.2563382289,,,
2025-08-08 12:57:55,,520390.86133486696,,,
2025-08-08 12:58:00,,554598.5026892455,,,
2025-08-08 12:58:05,,554596.1063855944,,,
2025-08-08 12:58:10,,554596.1063855944,,,
2025-08-08 12:58:15,,525392.67175655,,,
2025-08-08 12:58:20,,520906.66300934093,,,
2025-08-08 12:58:25,,531026.9143432964,,,
2025-08-08 12:58:30,,542527.9194347167,,,
2025-08-08 12:58:35,,542527.9194347167,,,
2025-08-08 12:58:40,,542527.9194347167,,,
2025-08-08 12:58:45,,531158.9002773628,,,
2025-08-08 12:58:50,,516885.62674523256,,,
2025-08-08 12:58:55,,520971.36790410086,,,
2025-08-08 12:59:00,,522287.5737227938,,,
2025-08-08 12:59:05,,565559.6162654932,,,
2025-08-08 12:59:10,,565559.6162654932,,,
2025-08-08 12:59:15,,565559.1975313248,,,
2025-08-08 12:59:20,,538456.2121351348,,,
2025-08-08 12:59:25,,524131.56335664063,,,
2025-08-08 12:59:30,,544664.0558542894,,,
2025-08-08 12:59:35,,548192.2278140137,,,
2025-08-08 12:59:40,,548192.2278140138,,,
2025-08-08 12:59:45,,547670.1166217346,,,
2025-08-08 12:59:50,,552256.6763073276,,,
2025-08-08 12:59:55,,556679.750071634,,,
2025-08-08 13:00:00,,561584.801659318,,,
2025-08-08 13:00:05,,561631.2687056259,,,
2025-08-08 13:00:10,,561631.2687056259,,,
2025-08-08 13:00:15,,520495.6494728178,,,
