Time,"flink_jobmanager_job_lastCheckpointSize{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.1.19:9249"",job=""default/flink-pod-monitor"",job_id=""9396335f968b7b3839e25ebbf7151130"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-jqh4k""}","flink_jobmanager_job_lastCheckpointSize{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.1.20:9249"",job=""default/flink-pod-monitor"",job_id=""5c0cdd9da68b9f7a981af39fb731dad9"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-l9x6f""}","flink_jobmanager_job_lastCheckpointSize{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.1.21:9249"",job=""default/flink-pod-monitor"",job_id=""57ecaee53398e63d91523b2a1f7ebe14"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-vsb4w""}"
2025-08-25 10:04:30,65368008.0,,
2025-08-25 10:05:00,108872856.0,,
2025-08-25 10:05:30,65209889.0,,
2025-08-25 10:06:00,126671686.0,,
2025-08-25 10:06:30,65161428.0,,
2025-08-25 10:07:00,130705373.0,,
2025-08-25 10:07:30,65454887.0,,
2025-08-25 10:08:00,131488754.0,,
2025-08-25 10:08:30,65389620.0,,
2025-08-25 10:09:00,131570318.0,,
2025-08-25 10:09:30,65393961.0,,
2025-08-25 10:10:00,131754901.0,,
2025-08-25 10:10:30,65317366.0,,
2025-08-25 10:11:00,131764627.0,,
2025-08-25 10:11:30,65437941.0,,
2025-08-25 10:12:00,131872127.0,,
2025-08-25 10:12:30,65310016.0,,
2025-08-25 10:13:00,131679914.0,,
2025-08-25 10:13:30,65231838.0,,
2025-08-25 10:14:00,131812457.0,,
2025-08-25 10:14:30,65351949.0,,
2025-08-25 11:27:30,,67526616.0,
2025-08-25 11:28:00,,146395368.0,
2025-08-25 11:28:30,,67709780.0,
2025-08-25 11:29:00,,166498449.0,
2025-08-25 11:29:30,,67735427.0,
2025-08-25 11:30:00,,171303706.0,
2025-08-25 11:30:30,,67857280.0,
2025-08-25 11:31:00,,172201373.0,
2025-08-25 11:31:30,,67928712.0,
2025-08-25 11:32:00,,172254860.0,
2025-08-25 11:32:30,,67786882.0,
2025-08-25 11:33:00,,172535945.0,
2025-08-25 11:33:30,,67802101.0,
2025-08-25 11:34:00,,172632786.0,
2025-08-25 11:34:30,,67850631.0,
2025-08-25 11:35:00,,172820471.0,
2025-08-25 11:35:30,,67762336.0,
2025-08-25 11:36:00,,172625964.0,
2025-08-25 11:36:30,,67985689.0,
2025-08-25 11:37:00,,172551330.0,
2025-08-25 11:37:30,,67723033.0,
2025-08-25 11:40:30,,,94126058.0
2025-08-25 11:41:00,,,102236842.0
2025-08-25 11:41:30,,,113692917.0
2025-08-25 11:42:00,,,130131727.0
2025-08-25 11:42:30,,,144249939.0
2025-08-25 11:43:00,,,121628724.0
2025-08-25 11:43:30,,,122483859.0
2025-08-25 11:44:00,,,134705620.0
2025-08-25 11:44:30,,,146515768.0
2025-08-25 11:45:00,,,122719627.0
2025-08-25 11:45:30,,,123082444.0
2025-08-25 11:46:00,,,134687684.0
2025-08-25 11:46:30,,,146280600.0
2025-08-25 11:47:00,,,134346500.0
2025-08-25 11:47:30,,,120054484.0
2025-08-25 11:48:00,,,131930344.0
2025-08-25 11:48:30,,,143884026.0
2025-08-25 11:49:00,,,119962504.0
2025-08-25 11:49:30,,,120125717.0
2025-08-25 11:50:00,,,131982590.0
2025-08-25 11:50:30,,,143793798.0
