Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-25 10:04:30,817925.3217391304,,
2025-08-25 10:05:30,2335783.4173913044,,
2025-08-25 10:06:30,3196199.1826086952,,
2025-08-25 10:07:30,3388690.913043478,,
2025-08-25 10:08:30,3432547.6608695653,,
2025-08-25 10:09:30,3439903.72173913,,
2025-08-25 10:10:30,3441277.7826086953,,
2025-08-25 10:11:30,3443595.347826087,,
2025-08-25 10:12:30,3444295.2260869564,,
2025-08-25 10:13:30,3442252.852173913,,
2025-08-25 10:14:30,3441898.0,,
2025-08-25 11:27:30,,1803155.3391304347,
2025-08-25 11:28:30,,3850946.0956521737,
2025-08-25 11:29:30,,4056998.7826086953,
2025-08-25 11:30:30,,4108188.652173913,
2025-08-25 11:31:30,,4292444.791304348,
2025-08-25 11:32:30,,4295027.904347826,
2025-08-25 11:33:30,,4208568.747826087,
2025-08-25 11:34:30,,4211470.8086956525,
2025-08-25 11:35:30,,4213040.486956522,
2025-08-25 11:36:30,,4212126.034782608,
2025-08-25 11:37:30,,4210294.9826086955,
2025-08-25 11:40:30,,,3887346.391304348
2025-08-25 11:41:30,,,9489749.591304349
2025-08-25 11:42:30,,,11233278.026086956
2025-08-25 11:43:30,,,11672625.652173912
2025-08-25 11:44:30,,,11441674.852173913
2025-08-25 11:45:30,,,11766704.234782608
2025-08-25 11:46:30,,,10550258.391304348
2025-08-25 11:47:30,,,10691652.913043477
2025-08-25 11:48:30,,,10710257.234782608
2025-08-25 11:49:30,,,11633665.55652174
2025-08-25 11:50:30,,,11651560.0
