Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-21 12:33:00,26250650.078260873,,
2025-08-21 12:34:00,43364177.20869565,,
2025-08-21 12:35:00,46837736.59130435,,
2025-08-21 12:36:00,45997451.67826087,,
2025-08-21 12:37:00,49088135.76521739,,
2025-08-21 12:38:00,50542315.80869565,,
2025-08-21 12:39:00,49795500.24347826,,
2025-08-21 12:40:00,50254111.23478261,,
2025-08-21 12:41:00,50276492.29565217,,
2025-08-21 12:42:00,49991883.94782608,,
2025-08-21 12:43:00,51071980.069565214,,
2025-08-21 12:45:00,,42751808.52173913,
2025-08-21 12:46:00,,67663297.26086956,
2025-08-21 12:47:00,,85758818.33043478,
2025-08-21 12:48:00,,84084715.26956521,
2025-08-21 12:49:00,,84159148.0,
2025-08-21 12:50:00,,80397824.33043478,
2025-08-21 12:51:00,,93390432.56521739,
2025-08-21 12:52:00,,86758766.99130435,
2025-08-21 12:53:00,,85986849.93913044,
2025-08-21 12:54:00,,90435847.53043479,
2025-08-21 12:55:00,,79322492.16521738,
2025-08-21 14:38:00,,,77860883.35652174
2025-08-21 14:39:00,,,104517818.26956521
2025-08-21 14:40:00,,,124942604.15652174
2025-08-21 14:41:00,,,127811691.4347826
2025-08-21 14:42:00,,,127795912.97391303
2025-08-21 14:43:00,,,114769747.28695652
2025-08-21 14:44:00,,,133220633.73043479
2025-08-21 14:45:00,,,123282806.66086957
2025-08-21 14:46:00,,,133797141.34782608
2025-08-21 14:47:00,,,121435731.65217392
2025-08-21 14:48:00,,,132781067.75652173
