Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-21 12:33:00,124920438.25217392,,
2025-08-21 12:34:00,21710717.817391302,,
2025-08-21 12:35:00,23455682.156521738,,
2025-08-21 12:36:00,23033828.147826087,,
2025-08-21 12:37:00,24581063.84347826,,
2025-08-21 12:38:00,25313666.156521738,,
2025-08-21 12:39:00,24975360.36521739,,
2025-08-21 12:40:00,25214166.921739127,,
2025-08-21 12:41:00,25203593.513043478,,
2025-08-21 12:42:00,25059896.965217393,,
2025-08-21 12:43:00,25615935.260869563,,
2025-08-21 12:45:00,,21445216.791304346,
2025-08-21 12:46:00,,33932218.8,
2025-08-21 12:47:00,,42968612.93913043,
2025-08-21 12:48:00,,42136632.747826084,
2025-08-21 12:49:00,,42172374.45217391,
2025-08-21 12:50:00,,40292400.747826084,
2025-08-21 12:51:00,,46826653.62608696,
2025-08-21 12:52:00,,43501462.156521745,
2025-08-21 12:53:00,,43112266.14782608,
2025-08-21 12:54:00,,45344541.77391304,
2025-08-21 12:55:00,,39776450.99130435,
2025-08-21 14:38:00,,,64652715.50434782
2025-08-21 14:39:00,,,89105074.89565216
2025-08-21 14:40:00,,,106540693.84347825
2025-08-21 14:41:00,,,108821604.22608694
2025-08-21 14:42:00,,,108480932.86086957
2025-08-21 14:43:00,,,97816537.37391303
2025-08-21 14:44:00,,,113387174.22608694
2025-08-21 14:45:00,,,104768189.0
2025-08-21 14:46:00,,,113693871.65217392
2025-08-21 14:47:00,,,103286934.25217392
2025-08-21 14:48:00,,,112969670.45217392
