Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-21 12:33:00,9446193.426086957,,
2025-08-21 12:34:00,21684188.652173914,,
2025-08-21 12:35:00,23420568.77391304,,
2025-08-21 12:36:00,23000765.88695652,,
2025-08-21 12:37:00,24546047.486956522,,
2025-08-21 12:38:00,25273890.182608698,,
2025-08-21 12:39:00,24900950.12173913,,
2025-08-21 12:40:00,25129488.91304348,,
2025-08-21 12:41:00,25141626.991304345,,
2025-08-21 12:42:00,24998428.695652176,,
2025-08-21 12:43:00,25538272.695652176,,
2025-08-21 12:45:00,,19949351.286956523,
2025-08-21 12:46:00,,35923487.45217391,
2025-08-21 12:47:00,,41132859.539130434,
2025-08-21 12:48:00,,45881925.32173912,
2025-08-21 12:49:00,,44121927.54782608,
2025-08-21 12:50:00,,42063403.782608695,
2025-08-21 12:51:00,,44709551.669565216,
2025-08-21 12:52:00,,41293512.58260869,
2025-08-21 12:53:00,,43184563.347826086,
2025-08-21 12:54:00,,39353904.85217391,
2025-08-21 12:55:00,,41244349.45217391,
2025-08-21 14:38:00,,,27646561.426086955
2025-08-21 14:39:00,,,37240723.73043478
2025-08-21 14:40:00,,,41604131.347826086
2025-08-21 14:41:00,,,40325994.91304348
2025-08-21 14:42:00,,,38270488.20869565
2025-08-21 14:43:00,,,42608428.70434783
2025-08-21 14:44:00,,,42971939.278260864
2025-08-21 14:45:00,,,44162724.91304348
2025-08-21 14:46:00,,,44490752.40869565
2025-08-21 14:47:00,,,44150827.26956522
2025-08-21 14:48:00,,,41928134.88695652
