Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-21 09:28:00,7368178.556521739,,
2025-08-21 09:29:00,10247532.208695652,,
2025-08-21 09:30:00,7641165.452173913,,
2025-08-21 09:31:00,9301624.504347825,,
2025-08-21 09:32:00,10107449.88695652,,
2025-08-21 09:33:00,10804458.48695652,,
2025-08-21 09:34:00,11161344.660869565,,
2025-08-21 09:35:00,9614371.330434782,,
2025-08-21 09:36:00,12297461.434782607,,
2025-08-21 09:37:00,12206249.113043478,,
2025-08-21 09:38:00,10699599.930434784,,
2025-08-21 09:42:00,,13076063.686956521,
2025-08-21 09:43:00,,24893951.104347825,
2025-08-21 09:44:00,,28306306.77391304,
2025-08-21 09:45:00,,28690740.052173913,
2025-08-21 09:46:00,,30797214.54782609,
2025-08-21 09:47:00,,32187722.678260867,
2025-08-21 09:48:00,,32210063.286956523,
2025-08-21 09:49:00,,30614937.539130434,
2025-08-21 09:50:00,,31046173.860869564,
2025-08-21 09:51:00,,33034419.36521739,
2025-08-21 09:52:00,,30073505.382608697,
2025-08-21 09:57:00,,,1072870296.8
2025-08-21 09:58:00,,,1496887729.8869565
2025-08-21 09:59:00,,,1627121621.3478262
2025-08-21 10:00:00,,,1426871881.747826
2025-08-21 10:01:00,,,1386244319.4956522
2025-08-21 10:02:00,,,1486464696.426087
2025-08-21 10:03:00,,,1491268511.6347826
2025-08-21 10:04:00,,,1540265473.2086957
2025-08-21 10:05:00,,,1466561234.3217392
2025-08-21 10:06:00,,,1606348129.3913043
2025-08-21 10:07:00,,,1461001620.1913042
