Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-21 09:28:00,7354917.669565217,,
2025-08-21 09:29:00,10230879.304347824,,
2025-08-21 09:30:00,7627062.939130435,,
2025-08-21 09:31:00,9279782.356521739,,
2025-08-21 09:32:00,7278250.434782608,,
2025-08-21 09:33:00,10784975.826086957,,
2025-08-21 09:34:00,11113829.88695652,,
2025-08-21 09:35:00,11547836.32173913,,
2025-08-21 09:36:00,12240805.32173913,,
2025-08-21 09:37:00,12017556.84347826,,
2025-08-21 09:38:00,10635526.713043477,,
2025-08-21 09:42:00,,11896360.808695652,
2025-08-21 09:43:00,,25041756.713043477,
2025-08-21 09:44:00,,26711757.147826087,
2025-08-21 09:45:00,,30015123.20869565,
2025-08-21 09:46:00,,30800092.852173913,
2025-08-21 09:47:00,,30772533.6,
2025-08-21 09:48:00,,30774215.64347826,
2025-08-21 09:49:00,,29156533.88695652,
2025-08-21 09:50:00,,30938491.426086955,
2025-08-21 09:51:00,,34162302.83478261,
2025-08-21 09:52:00,,31962525.713043477,
2025-08-21 09:57:00,,,774877.0956521739
2025-08-21 09:58:00,,,1290752.008695652
2025-08-21 09:59:00,,,1469484.765217391
2025-08-21 10:00:00,,,1499241.556521739
2025-08-21 10:01:00,,,1211758.3826086957
2025-08-21 10:02:00,,,1573727.695652174
2025-08-21 10:03:00,,,1557169.2608695652
2025-08-21 10:04:00,,,1584938.304347826
2025-08-21 10:05:00,,,1549616.2173913044
2025-08-21 10:06:00,,,1571495.9652173913
2025-08-21 10:07:00,,,1534254.0782608695
