Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-13 11:46:00,232184.6,,,
2025-08-13 11:47:00,360850.93043478264,,,
2025-08-13 11:48:00,291149.2695652174,,,
2025-08-13 11:49:00,223793.71304347826,,,
2025-08-13 11:50:00,294512.84347826085,,,
2025-08-13 11:51:00,362766.2,,,
2025-08-13 11:52:00,292962.7826086956,,,
2025-08-13 11:53:00,218393.97391304345,,,
2025-08-13 11:54:00,290674.5652173913,,,
2025-08-13 11:55:00,358165.7913043478,,,
2025-08-13 11:56:00,286915.31304347824,,,
2025-08-13 12:05:00,,113723.01739130434,,
2025-08-13 12:06:00,,242467.3913043478,,
2025-08-13 12:07:00,,314428.04347826086,,
2025-08-13 12:08:00,,350458.81739130436,,
2025-08-13 12:09:00,,289302.7304347826,,
2025-08-13 12:10:00,,218129.64347826087,,
2025-08-13 12:11:00,,280894.4260869565,,
2025-08-13 12:12:00,,353496.1391304348,,
2025-08-13 12:13:00,,283860.4956521739,,
2025-08-13 12:14:00,,211489.53913043477,,
2025-08-13 12:15:00,,273198.37391304347,,
2025-08-13 12:28:00,,,58950.7652173913,
2025-08-13 12:29:00,,,122887.85217391304,
2025-08-13 12:30:00,,,61311.06956521739,
2025-08-13 12:31:00,,,125316.99130434782,
2025-08-13 12:32:00,,,62925.27826086956,
2025-08-13 12:33:00,,,121882.3043478261,
2025-08-13 12:34:00,,,120251.44347826087,
2025-08-13 12:35:00,,,128065.54782608694,
2025-08-13 12:36:00,,,63016.852173913045,
2025-08-13 12:37:00,,,135894.42608695652,
2025-08-13 12:38:00,,,126505.54782608694,
2025-08-13 12:51:00,,,,198955.13913043478
2025-08-13 12:52:00,,,,266105.4608695652
2025-08-13 12:53:00,,,,264968.3391304348
2025-08-13 12:54:00,,,,265288.0347826087
2025-08-13 12:55:00,,,,266677.8782608696
2025-08-13 12:56:00,,,,266018.74782608694
2025-08-13 12:57:00,,,,266130.0
2025-08-13 12:58:00,,,,261936.1652173913
2025-08-13 12:59:00,,,,257449.14782608693
2025-08-13 13:00:00,,,,257345.59130434782
2025-08-13 13:01:00,,,,255960.48695652175
