Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-25 08:04:00,7758087.091853084,,
2025-08-25 08:05:00,16613605.976501739,,
2025-08-25 08:06:00,19828012.20869565,,
2025-08-25 08:07:00,18098457.25217391,,
2025-08-25 08:08:00,19079944.67826087,,
2025-08-25 08:09:00,19831762.165217392,,
2025-08-25 08:10:00,18164828.921739127,,
2025-08-25 08:11:00,19836634.25217391,,
2025-08-25 08:12:00,18111989.739130434,,
2025-08-25 08:13:00,19833760.582608696,,
2025-08-25 08:14:00,18109119.713043477,,
2025-08-25 08:24:00,,15345920.0,
2025-08-25 08:25:00,,29535757.12173913,
2025-08-25 08:26:00,,27703919.139130432,
2025-08-25 08:27:00,,28204744.417391304,
2025-08-25 08:28:00,,27929110.32173913,
2025-08-25 08:29:00,,27940048.034782607,
2025-08-25 08:30:00,,27712193.23478261,
2025-08-25 08:31:00,,29140227.97391304,
2025-08-25 08:32:00,,27926064.356521737,
2025-08-25 08:33:00,,29144872.182608698,
2025-08-25 08:34:00,,26741860.182608698,
2025-08-25 08:43:00,,,17695261.408695653
2025-08-25 08:44:00,,,43350912.67826087
2025-08-25 08:45:00,,,55675801.47826087
2025-08-25 08:46:00,,,48972068.79130435
2025-08-25 08:47:00,,,51099977.921739124
2025-08-25 08:48:00,,,53614616.13043478
2025-08-25 08:49:00,,,53613373.30434783
2025-08-25 08:50:00,,,53596051.75652174
2025-08-25 08:51:00,,,53553210.49565218
2025-08-25 08:52:00,,,51247947.25217391
2025-08-25 08:53:00,,,55900213.71304347
