Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-25 08:04:00,7849190.486956522,,
2025-08-25 08:05:00,18019669.069565218,,
2025-08-25 08:06:00,19905484.826086953,,
2025-08-25 08:07:00,19903661.382608697,,
2025-08-25 08:08:00,18181616.139130432,,
2025-08-25 08:09:00,19908410.32173913,,
2025-08-25 08:10:00,19909956.530434784,,
2025-08-25 08:11:00,18635926.4,,
2025-08-25 08:12:00,18210777.95652174,,
2025-08-25 08:13:00,18336765.269565217,,
2025-08-25 08:14:00,20913264.182608698,,
2025-08-25 08:24:00,,17627974.478260867,
2025-08-25 08:25:00,,29097170.060869563,
2025-08-25 08:26:00,,29287713.878260866,
2025-08-25 08:27:00,,25768724.44347826,
2025-08-25 08:28:00,,28070158.860869564,
2025-08-25 08:29:00,,28095185.63478261,
2025-08-25 08:30:00,,27816720.27826087,
2025-08-25 08:31:00,,28275685.74782609,
2025-08-25 08:32:00,,28085486.64347826,
2025-08-25 08:33:00,,28057588.91304348,
2025-08-25 08:34:00,,27823793.426086955,
2025-08-25 08:43:00,,,17716195.695652172
2025-08-25 08:44:00,,,45136543.28695652
2025-08-25 08:45:00,,,53707490.85217391
2025-08-25 08:46:00,,,55762311.26956522
2025-08-25 08:47:00,,,53767316.330434784
2025-08-25 08:48:00,,,54015327.68695652
2025-08-25 08:49:00,,,56135965.75652173
2025-08-25 08:50:00,,,49507670.29565217
2025-08-25 08:51:00,,,54056405.86956522
2025-08-25 08:52:00,,,49247496.13043478
2025-08-25 08:53:00,,,56200800.51304348
