Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_13"",instance=""10.42.2.13:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_14"",instance=""10.42.2.14:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_15"",instance=""10.42.2.15:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_16"",instance=""10.42.2.16:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-07-17 12:00:00,0.1175,,,
2025-07-17 12:00:05,0.118,,,
2025-07-17 12:00:10,0.1895,,,
2025-07-17 12:00:15,0.1485,,,
2025-07-17 12:00:20,0.1355,,,
2025-07-17 12:00:25,0.1605,,,
2025-07-17 12:00:30,0.1125,,,
2025-07-17 12:00:35,0.117,,,
2025-07-17 12:00:40,0.142,,,
2025-07-17 12:00:45,0.115,,,
2025-07-17 12:00:50,0.1225,,,
2025-07-17 12:00:55,0.204,,,
2025-07-17 12:01:00,0.111,,,
2025-07-17 12:01:05,0.117,,,
2025-07-17 12:01:10,0.133,,,
2025-07-17 12:01:15,0.1125,,,
2025-07-17 12:01:20,0.1235,,,
2025-07-17 12:01:25,0.1405,,,
2025-07-17 12:01:30,0.1095,,,
2025-07-17 12:01:35,0.1125,,,
2025-07-17 12:01:40,0.1435,,,
2025-07-17 12:01:45,0.112,,,
2025-07-17 12:01:50,0.127,,,
2025-07-17 12:01:55,0.20784313725490197,,,
2025-07-17 12:02:00,0.11683673469387755,,,
2025-07-17 12:02:05,0.1145,,,
2025-07-17 12:02:10,0.1435,,,
2025-07-17 12:02:15,0.109,,,
2025-07-17 12:02:20,0.128,,,
2025-07-17 12:02:25,0.134,,,
2025-07-17 12:02:30,0.1075,,,
2025-07-17 12:02:35,0.114,,,
2025-07-17 12:02:40,0.1445,,,
2025-07-17 12:02:45,0.115,,,
2025-07-17 12:02:50,0.1285,,,
2025-07-17 12:02:55,0.206,,,
2025-07-17 12:03:00,0.1205,,,
2025-07-17 12:03:05,0.1145,,,
2025-07-17 12:03:10,0.137,,,
2025-07-17 12:03:15,0.1125,,,
2025-07-17 12:03:20,0.12156862745098039,,,
2025-07-17 12:03:25,0.12959183673469388,,,
2025-07-17 12:03:30,0.1115,,,
2025-07-17 12:03:35,0.122,,,
2025-07-17 12:03:40,0.1485,,,
2025-07-17 12:03:45,0.1135,,,
2025-07-17 12:03:50,0.12745098039215685,,,
2025-07-17 12:03:55,0.2086734693877551,,,
2025-07-17 12:04:00,0.112,,,
2025-07-17 12:04:05,0.116,,,
2025-07-17 12:04:10,0.1495,,,
2025-07-17 12:04:15,0.111,,,
2025-07-17 12:04:20,0.1205,,,
2025-07-17 12:04:25,0.1225,,,
2025-07-17 12:04:30,0.107,,,
2025-07-17 12:04:35,0.1125,,,
2025-07-17 12:04:40,0.14,,,
2025-07-17 12:04:45,0.114,,,
2025-07-17 12:04:50,0.12254901960784313,,,
2025-07-17 12:04:55,0.21785714285714286,,,
2025-07-17 12:05:00,0.11,,,
2025-07-17 12:05:05,0.1115,,,
2025-07-17 12:05:10,0.144,,,
2025-07-17 12:05:15,0.11009615384615384,,,
2025-07-17 12:05:20,0.14427083333333332,,,
2025-07-17 12:05:25,0.131,,,
2025-07-17 12:05:30,0.1105,,,
2025-07-17 12:05:35,0.112,,,
2025-07-17 12:05:40,0.142,,,
2025-07-17 12:05:45,0.1115,,,
2025-07-17 12:05:50,0.128,,,
2025-07-17 12:05:55,0.2045,,,
2025-07-17 12:06:00,0.1225,,,
2025-07-17 12:06:05,0.1145,,,
2025-07-17 12:06:10,0.142,,,
2025-07-17 12:06:15,0.1135,,,
2025-07-17 12:06:20,0.1255,,,
2025-07-17 12:06:25,0.12794117647058822,,,
2025-07-17 12:06:30,0.11785714285714285,,,
2025-07-17 12:06:35,0.1145,,,
2025-07-17 12:06:40,0.144,,,
2025-07-17 12:06:45,0.112,,,
2025-07-17 12:06:50,0.136,,,
2025-07-17 12:06:55,0.2105,,,
2025-07-17 12:07:00,0.1145,,,
2025-07-17 12:07:05,0.1145,,,
2025-07-17 12:07:10,0.14,,,
2025-07-17 12:07:15,0.1155,,,
2025-07-17 12:07:20,0.133,,,
2025-07-17 12:07:25,0.126,,,
2025-07-17 12:07:30,0.1105,,,
2025-07-17 12:07:35,0.1275,,,
2025-07-17 12:07:40,0.1405,,,
2025-07-17 12:07:45,0.1185,,,
2025-07-17 12:07:50,0.128,,,
2025-07-17 12:07:55,0.207,,,
2025-07-17 12:08:00,0.119,,,
2025-07-17 12:08:05,0.118,,,
2025-07-17 12:08:10,0.142,,,
2025-07-17 12:08:15,0.1175,,,
2025-07-17 12:08:20,0.1325,,,
2025-07-17 12:08:25,0.1305,,,
2025-07-17 12:08:30,0.1095,,,
2025-07-17 12:08:35,0.114,,,
2025-07-17 12:08:40,0.1415,,,
2025-07-17 12:08:45,0.1135,,,
2025-07-17 12:08:50,0.1245,,,
2025-07-17 12:08:55,0.1975,,,
