Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_14"",instance=""10.42.2.14:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_15"",instance=""10.42.2.15:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_16"",instance=""10.42.2.16:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_17"",instance=""10.42.2.17:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-08-25 09:24:35,,0.055,,
2025-08-25 09:24:40,,0.047,,
2025-08-25 09:24:45,,0.029,,
2025-08-25 09:24:50,,0.027,,
2025-08-25 09:24:55,,0.035,,
2025-08-25 09:25:00,,0.0335,,
2025-08-25 09:25:05,,0.0555,,
2025-08-25 09:25:10,,0.0505,,
2025-08-25 09:25:15,,0.0645,,
2025-08-25 09:25:20,,0.036,,
2025-08-25 09:25:25,,0.053,,
2025-08-25 09:25:30,,0.03,,
2025-08-25 09:25:35,,0.049,,
2025-08-25 09:25:40,,0.039,,
2025-08-25 09:25:45,,0.03,,
2025-08-25 09:25:50,,0.0265,,
2025-08-25 09:25:55,,0.0315,,
2025-08-25 09:26:00,,0.026,,
2025-08-25 09:26:05,,0.05,,
2025-08-25 09:26:10,,0.0265,,
2025-08-25 09:26:15,,0.029,,
2025-08-25 09:26:20,,0.025,,
2025-08-25 09:26:25,,0.026,,
2025-08-25 09:26:30,,0.029,,
2025-08-25 09:26:35,,0.0495,,
2025-08-25 09:26:40,,0.052,,
2025-08-25 09:26:45,,0.0285,,
2025-08-25 09:26:50,,0.0265,,
2025-08-25 09:26:55,,0.029,,
2025-08-25 09:27:00,,0.0275,,
2025-08-25 09:27:05,,0.044,,
2025-08-25 09:27:10,,0.0285,,
2025-08-25 09:27:15,,0.025,,
2025-08-25 09:27:20,,0.029,,
2025-08-25 09:27:25,,0.0245,,
2025-08-25 09:27:30,,0.029,,
2025-08-25 09:27:35,,0.047,,
2025-08-25 09:27:40,,0.0245,,
2025-08-25 09:27:45,,0.0235,,
2025-08-25 09:27:50,,0.0285,,
2025-08-25 09:27:55,,0.027,,
2025-08-25 09:28:00,,0.031,,
2025-08-25 09:28:05,,0.051,,
2025-08-25 09:28:10,,0.03,,
2025-08-25 09:28:15,,0.028,,
2025-08-25 09:28:20,,0.027,,
2025-08-25 09:28:25,,0.032,,
2025-08-25 09:28:30,,0.026,,
2025-08-25 09:28:35,,0.052,,
2025-08-25 09:28:40,,0.0565,,
2025-08-25 09:28:45,,0.026,,
2025-08-25 09:28:50,,0.026,,
2025-08-25 09:28:55,,0.0255,,
2025-08-25 09:29:00,,0.024,,
2025-08-25 09:29:05,,0.0395,,
2025-08-25 09:29:10,,0.0355,,
2025-08-25 09:29:15,,0.024,,
2025-08-25 09:29:20,,0.0235,,
2025-08-25 09:29:25,,0.026,,
2025-08-25 09:29:30,,0.027,,
2025-08-25 09:29:35,,0.0495,,
2025-08-25 09:29:40,,0.034,,
2025-08-25 09:29:45,,0.027,,
2025-08-25 09:29:50,,0.031,,
2025-08-25 09:29:55,,0.027,,
2025-08-25 09:30:00,,0.025,,
2025-08-25 09:30:05,,0.045,,
2025-08-25 09:30:10,,0.042,,
2025-08-25 09:30:15,,0.0255,,
2025-08-25 09:30:20,,0.0265,,
2025-08-25 09:30:25,,0.0255,,
2025-08-25 09:30:30,,0.0275,,
2025-08-25 09:30:35,,0.0455,,
2025-08-25 09:30:40,,0.068,,
2025-08-25 09:30:45,,0.025,,
2025-08-25 09:30:50,,0.0395,,
2025-08-25 09:30:55,,0.025,,
2025-08-25 09:31:00,,0.0305,,
2025-08-25 09:31:05,,0.0405,,
2025-08-25 09:31:10,,0.029,,
2025-08-25 09:31:15,,0.026,,
2025-08-25 09:31:20,,0.0245,,
2025-08-25 09:31:25,,0.0245,,
2025-08-25 09:31:30,,0.0235,,
2025-08-25 09:31:35,,0.0405,,
2025-08-25 09:31:40,,0.0265,,
2025-08-25 09:31:45,,0.026,,
2025-08-25 09:31:50,,0.027,,
2025-08-25 09:31:55,,0.0275,,
2025-08-25 09:32:00,,0.034,,
2025-08-25 09:32:05,,0.0475,,
2025-08-25 09:32:10,,0.0295,,
2025-08-25 09:32:15,,0.0275,,
2025-08-25 09:32:20,,0.025,,
2025-08-25 09:32:25,,0.034,,
2025-08-25 09:32:30,,0.0285,,
2025-08-25 09:32:35,,0.0435,,
2025-08-25 09:32:40,,0.083,,
2025-08-25 09:32:45,,0.025,,
2025-08-25 09:32:50,,0.0235,,
2025-08-25 09:32:55,,0.025,,
2025-08-25 09:33:00,,0.0275,,
2025-08-25 09:33:05,,0.0365,,
2025-08-25 09:33:10,,0.025,,
2025-08-25 09:33:15,,0.023,,
2025-08-25 09:33:20,,0.024,,
2025-08-25 09:33:25,,0.024,,
2025-08-25 09:33:30,,0.025,,
2025-08-25 09:33:35,,0.046,,
2025-08-25 09:33:40,,0.028,,
2025-08-25 09:33:45,,0.027,,
2025-08-25 09:33:50,,0.027,,
2025-08-25 09:33:55,,0.028,,
2025-08-25 09:34:00,,0.029,,
2025-08-25 09:38:00,,,0.043,
