Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-25 09:11:00,56050.46086956522,,,
2025-08-25 09:12:00,256992.15652173912,,,
2025-08-25 09:13:00,498672.7826086956,,,
2025-08-25 09:14:00,432251.74782608694,,,
2025-08-25 09:15:00,611595.7391304348,,,
2025-08-25 09:16:00,679149.0782608695,,,
2025-08-25 09:17:00,744120.4,,,
2025-08-25 09:18:00,811590.8086956522,,,
2025-08-25 09:19:00,841510.6869565217,,,
2025-08-25 09:20:00,841635.0260869565,,,
2025-08-25 09:21:00,1048452.7391304348,,,
2025-08-25 09:24:00,,94250.28695652173,,
2025-08-25 09:25:00,,421724.31304347824,,
2025-08-25 09:26:00,,477686.5565217391,,
2025-08-25 09:27:00,,664044.495652174,,
2025-08-25 09:28:00,,664312.095652174,,
2025-08-25 09:29:00,,802542.2782608696,,
2025-08-25 09:30:00,,802811.3826086955,,
2025-08-25 09:31:00,,903731.0869565217,,
2025-08-25 09:32:00,,903737.452173913,,
2025-08-25 09:33:00,,979395.0260869565,,
2025-08-25 09:34:00,,979566.9130434783,,
2025-08-25 09:38:00,,,105618.8347826087,
2025-08-25 09:39:00,,,442436.87826086953,
2025-08-25 09:40:00,,,486683.9130434783,
2025-08-25 09:41:00,,,669951.9391304348,
2025-08-25 09:42:00,,,671023.6260869565,
2025-08-25 09:43:00,,,805598.904347826,
2025-08-25 09:44:00,,,805842.8695652173,
2025-08-25 09:45:00,,,908446.6086956521,
2025-08-25 09:46:00,,,908503.8347826087,
2025-08-25 09:47:00,,,983320.2086956521,
2025-08-25 09:48:00,,,982768.2956521738,
2025-08-25 09:53:00,,,,266054227.71304348
2025-08-25 09:54:00,,,,457747189.99130434
2025-08-25 09:55:00,,,,621356862.6608696
2025-08-25 09:56:00,,,,691067907.5043479
2025-08-25 09:57:00,,,,688028238.226087
2025-08-25 09:58:00,,,,746220120.3652173
2025-08-25 09:59:00,,,,800022765.8521739
2025-08-25 10:00:00,,,,728095448.347826
2025-08-25 10:01:00,,,,654032638.4521738
