Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-25 09:11:00,117536.57391304347,,,
2025-08-25 09:12:00,518652.60869565216,,,
2025-08-25 09:13:00,996516.3130434783,,,
2025-08-25 09:14:00,863925.7391304348,,,
2025-08-25 09:15:00,1221080.5478260869,,,
2025-08-25 09:16:00,1355987.391304348,,,
2025-08-25 09:17:00,1485915.0695652175,,,
2025-08-25 09:18:00,1621070.6695652173,,,
2025-08-25 09:19:00,1680596.9217391305,,,
2025-08-25 09:20:00,1681394.147826087,,,
2025-08-25 09:21:00,2094175.3739130434,,,
2025-08-25 09:24:00,,182298.54782608696,,
2025-08-25 09:25:00,,835780.3913043478,,
2025-08-25 09:26:00,,942765.6,,
2025-08-25 09:27:00,,1315014.5304347826,,
2025-08-25 09:28:00,,1314768.9391304345,,
2025-08-25 09:29:00,,1590158.9739130435,,
2025-08-25 09:30:00,,1590757.2608695652,,
2025-08-25 09:31:00,,1792435.5652173911,,
2025-08-25 09:32:00,,1792413.756521739,,
2025-08-25 09:33:00,,1943274.0173913043,,
2025-08-25 09:34:00,,1944461.8869565215,,
2025-08-25 09:38:00,,,203950.75652173912,
2025-08-25 09:39:00,,,877243.8260869565,
2025-08-25 09:40:00,,,961499.5217391305,
2025-08-25 09:41:00,,,1325439.052173913,
2025-08-25 09:42:00,,,1327204.5130434781,
2025-08-25 09:43:00,,,1595661.043478261,
2025-08-25 09:44:00,,,1596539.4,
2025-08-25 09:45:00,,,1801458.9304347825,
2025-08-25 09:46:00,,,1801674.9217391305,
2025-08-25 09:47:00,,,1951815.0695652175,
2025-08-25 09:48:00,,,1949714.8347826086,
2025-08-25 09:53:00,,,,19088711.243478257
2025-08-25 09:54:00,,,,31718426.965217393
2025-08-25 09:55:00,,,,41150468.426086955
2025-08-25 09:56:00,,,,44199782.70434783
2025-08-25 09:57:00,,,,42200339.026086956
2025-08-25 09:58:00,,,,45860510.426086955
2025-08-25 09:59:00,,,,49210183.052173905
2025-08-25 10:00:00,,,,47426486.73913043
2025-08-25 10:01:00,,,,45222026.79130435
