Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-25 09:11:00,50669.086956521736,,,
2025-08-25 09:12:00,249381.6,,,
2025-08-25 09:13:00,422487.0086956521,,,
2025-08-25 09:14:00,423433.60869565216,,,
2025-08-25 09:15:00,735452.5565217391,,,
2025-08-25 09:16:00,602451.8173913043,,,
2025-08-25 09:17:00,735017.0695652174,,,
2025-08-25 09:18:00,734815.7826086956,,,
2025-08-25 09:19:00,898573.5304347825,,,
2025-08-25 09:20:00,832023.1130434782,,,
2025-08-25 09:21:00,970790.2260869566,,,
2025-08-25 09:24:00,,80856.67826086956,,
2025-08-25 09:25:00,,408788.63478260866,,
2025-08-25 09:26:00,,461615.71304347826,,
2025-08-25 09:27:00,,647481.0869565217,,
2025-08-25 09:28:00,,646979.7565217391,,
2025-08-25 09:29:00,,785454.4,,
2025-08-25 09:30:00,,785708.2782608696,,
2025-08-25 09:31:00,,886578.0086956521,,
2025-08-25 09:32:00,,886604.1304347826,,
2025-08-25 09:33:00,,962446.9304347825,,
2025-08-25 09:34:00,,962381.0869565217,,
2025-08-25 09:38:00,,,92278.42608695653,
2025-08-25 09:39:00,,,429185.93913043477,
2025-08-25 09:40:00,,,470194.8869565217,
2025-08-25 09:41:00,,,653315.0,
2025-08-25 09:42:00,,,653467.7739130434,
2025-08-25 09:43:00,,,788447.1652173913,
2025-08-25 09:44:00,,,788539.6173913043,
2025-08-25 09:45:00,,,891036.0434782609,
2025-08-25 09:46:00,,,891164.0173913043,
2025-08-25 09:47:00,,,965948.1217391305,
2025-08-25 09:48:00,,,965573.4260869565,
2025-08-25 09:53:00,,,,187944.08695652176
2025-08-25 09:54:00,,,,492544.28695652174
2025-08-25 09:55:00,,,,492722.7739130435
2025-08-25 09:56:00,,,,670906.0869565217
2025-08-25 09:57:00,,,,670923.2173913043
2025-08-25 09:58:00,,,,801624.0
2025-08-25 09:59:00,,,,801312.8869565218
2025-08-25 10:00:00,,,,899651.9826086956
2025-08-25 10:01:00,,,,900125.4
