Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadFileStream""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-25 09:31:00,,,,,,,,,,,,,,,,137873.0,180.0,139.0,594.0,390.0,51.0,83.0,,132.0,153.0,243.0,5765.0,2693.0,800.0,4296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 09:32:00,,,,,,,,,,,,,,,,104807.0,231.0,178.0,688.0,359.0,36.0,209.0,,127.0,174.0,204.0,5311.0,2805.0,824.0,6173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 09:33:00,,,,,,,,,,,,,,,,142214.0,183.0,181.0,591.0,392.0,45.0,113.0,,112.0,167.0,216.0,4976.0,3561.0,879.0,3873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 09:34:00,,,,,,,,,,,,,,,,112240.0,245.0,169.0,659.0,367.0,37.0,161.0,,126.0,217.0,229.0,5674.0,3177.0,762.0,3894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 09:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,,,352.0,18.0,117.0,,,,174.0,6263.0,,775.0,,,,,,,,,,,,,,,,,
2025-08-25 09:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50336.0,179.0,145.0,610.0,603.0,46.0,93.0,,143.0,210.0,229.0,4545.0,2856.0,964.0,4134.0,,,,,,,,,,,,,,,,
2025-08-25 09:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96636.0,189.0,214.0,707.0,399.0,80.0,107.0,84.0,147.0,165.0,226.0,5140.0,3449.0,761.0,4410.0,,,,,,,,,,,,,,,,
2025-08-25 09:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63653.0,187.0,204.0,638.0,370.0,40.0,151.0,,153.0,219.0,238.0,4957.0,3611.0,836.0,3499.0,,,,,,,,,,,,,,,,
2025-08-25 09:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121862.0,162.0,156.0,646.0,385.0,26.0,102.0,,168.0,187.0,217.0,5826.0,3240.0,817.0,6825.0,,,,,,,,,,,,,,,,
2025-08-25 09:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67566.0,190.0,187.0,690.0,384.0,41.0,80.0,,129.0,311.0,221.0,4986.0,3326.0,802.0,4200.0,,,,,,,,,,,,,,,,
2025-08-25 09:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154207.0,159.0,186.0,730.0,374.0,33.0,87.0,,153.0,174.0,221.0,7261.0,2733.0,796.0,4178.0,,,,,,,,,,,,,,,,
2025-08-25 09:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64294.0,205.0,145.0,680.0,388.0,63.0,108.0,107.0,119.0,177.0,261.0,5884.0,2714.0,790.0,4465.0,,,,,,,,,,,,,,,,
2025-08-25 09:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161099.0,205.0,150.0,597.0,396.0,33.0,182.0,,139.0,179.0,247.0,6023.0,2258.0,808.0,4813.0,,,,,,,,,,,,,,,,
2025-08-25 09:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64843.0,175.0,175.0,634.0,392.0,50.0,113.0,,172.0,192.0,223.0,5145.0,2562.0,816.0,3911.0,,,,,,,,,,,,,,,,
2025-08-25 09:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174658.0,172.0,202.0,620.0,388.0,30.0,,,127.0,222.0,237.0,5190.0,3320.0,853.0,3743.0,,,,,,,,,,,,,,,,
2025-08-25 09:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67475.0,200.0,163.0,653.0,544.0,43.0,211.0,,92.0,150.0,242.0,176.0,4510.0,2480.0,686.0,4691.0
2025-08-25 09:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101304.0,164.0,148.0,640.0,370.0,31.0,324.0,,91.0,152.0,160.0,170.0,4314.0,3208.0,726.0,4386.0
2025-08-25 09:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67077.0,200.0,224.0,662.0,371.0,42.0,374.0,121.0,91.0,142.0,238.0,168.0,4633.0,3026.0,822.0,4248.0
2025-08-25 09:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139300.0,155.0,194.0,668.0,406.0,27.0,426.0,,92.0,162.0,223.0,168.0,6682.0,2896.0,799.0,4515.0
2025-08-25 09:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66364.0,173.0,182.0,630.0,359.0,36.0,389.0,,92.0,133.0,268.0,169.0,5006.0,3515.0,828.0,4164.0
2025-08-25 09:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66364.0,173.0,182.0,630.0,359.0,36.0,389.0,,92.0,133.0,268.0,169.0,5006.0,3515.0,828.0,4164.0
2025-08-25 09:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155013.0,159.0,190.0,601.0,405.0,34.0,305.0,,91.0,145.0,213.0,170.0,6182.0,2893.0,917.0,4577.0
2025-08-25 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65661.0,164.0,168.0,671.0,382.0,39.0,363.0,,93.0,126.0,201.0,171.0,4896.0,3406.0,760.0,4074.0
2025-08-25 10:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167554.0,162.0,139.0,613.0,395.0,20.0,423.0,,91.0,157.0,160.0,170.0,4387.0,2635.0,823.0,4349.0
