Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-05 08:05:00,14122.104347826087,,,
2025-08-05 08:06:00,13371.156521739129,,,
2025-08-05 08:07:00,43394.921739130434,,,
2025-08-05 08:08:00,42354.64347826087,,,
2025-08-05 08:09:00,42658.28695652173,,,
2025-08-05 08:10:00,43499.43478260869,,,
2025-08-05 08:11:00,87957.11304347825,,,
2025-08-05 08:12:00,85956.06956521739,,,
2025-08-05 08:13:00,151449.24347826088,,,
2025-08-05 08:14:00,151424.94782608695,,,
2025-08-05 08:15:00,43034.973913043475,,,
2025-08-05 08:24:00,,12043.860869565216,,
2025-08-05 08:25:00,,10211.991304347825,,
2025-08-05 08:26:00,,43668.41739130435,,
2025-08-05 08:27:00,,42400.678260869565,,
2025-08-05 08:28:00,,43507.217391304344,,
2025-08-05 08:29:00,,42443.01739130435,,
2025-08-05 08:30:00,,89653.9304347826,,
2025-08-05 08:31:00,,90403.8347826087,,
2025-08-05 08:32:00,,142326.4608695652,,
2025-08-05 08:33:00,,142873.33913043476,,
2025-08-05 08:34:00,,42147.321739130435,,
2025-08-05 08:39:00,,,3865.260869565217,
2025-08-05 08:40:00,,,35499.73043478261,
2025-08-05 08:41:00,,,36298.06956521739,
2025-08-05 08:42:00,,,44293.147826086955,
2025-08-05 08:43:00,,,42333.66086956522,
2025-08-05 08:44:00,,,42082.53913043478,
2025-08-05 08:45:00,,,42163.35652173913,
2025-08-05 08:46:00,,,96885.02608695652,
2025-08-05 08:47:00,,,97776.12173913044,
2025-08-05 08:48:00,,,152586.81739130433,
2025-08-05 08:49:00,,,152596.01739130434,
2025-08-05 08:58:00,,,,3878.121739130435
2025-08-05 08:59:00,,,,36966.06086956522
2025-08-05 09:00:00,,,,36879.33043478261
2025-08-05 09:01:00,,,,42418.51304347826
2025-08-05 09:02:00,,,,42296.37391304348
2025-08-05 09:03:00,,,,42440.42608695652
2025-08-05 09:04:00,,,,43001.29565217391
2025-08-05 09:05:00,,,,99883.89565217392
2025-08-05 09:06:00,,,,99220.9304347826
2025-08-05 09:07:00,,,,155026.53913043477
2025-08-05 09:08:00,,,,155672.32173913045
