Time,completemultipartupload,deletemultipleobjects,deleteobject,getbucketlocation,headbucket,headobject,listobjectsv2,newmultipartupload,putbucket,putobject,putobjectpart,completemultipartupload_2,deletemultipleobjects_2,deleteobject_2,getbucketlocation_2,headbucket_2,headobject_2,listobjectsv2_2,newmultipartupload_2,putbucket_2,putobject_2,putobjectpart_2,completemultipartupload_3,deletemultipleobjects_3,deleteobject_3,getbucketlocation_3,headbucket_3,headobject_3,listobjectsv2_3,newmultipartupload_3,putbucket_3,putobject_3,putobjectpart_3,completemultipartupload_4,deletemultipleobjects_4,deleteobject_4,getbucketlocation_4,headbucket_4,headobject_4,listobjectsv2_4,newmultipartupload_4,putbucket_4,putobject_4,putobjectpart_4
2025-08-06 09:12:00,2.0869565217391304,22.956521739130437,16.695652173913043,0.0,0.0,37.56521739130434,41.73913043478261,2.0869565217391304,0.0,20.869565217391305,2.0869565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06 09:13:00,2.0869565217391304,27.130434782608692,33.391304347826086,0.0,0.0,58.43478260869565,62.60869565217392,2.0869565217391304,0.0,25.043478260869563,2.0869565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06 09:14:00,2.0869565217391304,27.130434782608692,20.869565217391305,0.0,0.0,45.91304347826087,50.086956521739125,2.0869565217391304,1.0434782608695652,25.043478260869563,2.0869565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06 09:15:00,2.0869565217391304,22.956521739130437,4.173913043478261,0.0,0.0,25.043478260869563,29.217391304347824,2.0869565217391304,1.0434782608695652,20.869565217391305,2.0869565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06 09:16:00,2.0869565217391304,22.956521739130437,12.52173913043478,0.0,0.0,33.391304347826086,37.56521739130434,2.0869565217391304,0.0,20.869565217391305,2.0869565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06 09:17:00,2.0869565217391304,29.217391304347824,43.826086956521735,0.0,0.0,70.95652173913044,75.13043478260869,2.0869565217391304,0.0,27.130434782608692,2.0869565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06 09:18:00,2.0869565217391304,29.217391304347824,35.47826086956522,0.0,0.0,62.60869565217392,66.78260869565217,2.0869565217391304,0.0,27.130434782608692,2.0869565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06 09:19:00,2.0869565217391304,22.956521739130437,4.173913043478261,0.0,0.0,25.043478260869563,29.217391304347824,2.0869565217391304,1.0434782608695652,20.869565217391305,2.0869565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06 09:20:00,2.0869565217391304,22.956521739130437,8.347826086956522,0.0,0.0,29.217391304347824,33.391304347826086,2.0869565217391304,1.0434782608695652,20.869565217391305,2.0869565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06 09:21:00,2.0869565217391304,30.26086956521739,44.869565217391305,0.0,0.0,73.04347826086956,77.21739130434783,2.0869565217391304,0.0,28.17391304347826,2.0869565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
