Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-21 11:38:00,913361.8173913043,,
2025-08-21 11:39:00,702286.1304347826,,
2025-08-21 11:40:00,2809.6695652173917,,
2025-08-21 11:41:00,2809.6695652173917,,
2025-08-21 11:42:00,2809.8260869565215,,
2025-08-21 11:43:00,2809.9826086956523,,
2025-08-21 11:44:00,2809.9826086956523,,
2025-08-21 11:45:00,2809.9826086956523,,
2025-08-21 11:46:00,2809.9826086956523,,
2025-08-21 11:47:00,2809.9826086956523,,
2025-08-21 11:48:00,2809.9826086956523,,
2025-08-21 11:58:00,,913466.3913043478,
2025-08-21 11:59:00,,25649.65217391304,
2025-08-21 12:00:00,,2186.7130434782607,
2025-08-21 12:01:00,,2186.7130434782607,
2025-08-21 12:02:00,,2186.9391304347823,
2025-08-21 12:03:00,,2187.1652173913044,
2025-08-21 12:04:00,,2187.1652173913044,
2025-08-21 12:05:00,,2187.1652173913044,
2025-08-21 12:06:00,,2187.1652173913044,
2025-08-21 12:07:00,,2187.1652173913044,
2025-08-21 12:08:00,,2187.1652173913044,
2025-08-21 12:13:00,,,833709.9826086956
2025-08-21 12:14:00,,,658202.7391304348
2025-08-21 12:15:00,,,866427.8869565218
2025-08-21 12:16:00,,,1083850.2869565217
2025-08-21 12:17:00,,,873780.6782608696
2025-08-21 12:18:00,,,12256.13043478261
2025-08-21 12:19:00,,,879051.7391304348
2025-08-21 12:20:00,,,887110.4260869565
2025-08-21 12:21:00,,,888697.5391304347
2025-08-21 12:22:00,,,894188.7652173913
2025-08-21 12:23:00,,,892709.852173913
