Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-13 08:13:00,157680.07336594205,,,
2025-08-13 08:14:00,204646.78260869565,,,
2025-08-13 08:15:00,257875.99130434782,,,
2025-08-13 08:16:00,239442.15652173912,,,
2025-08-13 08:17:00,187081.94782608695,,,
2025-08-13 08:18:00,208744.31304347827,,,
2025-08-13 08:19:00,261639.3913043478,,,
2025-08-13 08:20:00,241599.35652173913,,,
2025-08-13 08:21:00,189385.30434782608,,,
2025-08-13 08:22:00,206038.1652173913,,,
2025-08-13 08:23:00,258896.6347826087,,,
2025-08-13 08:30:00,,142297.0695652174,,
2025-08-13 08:31:00,,249014.05217391302,,
2025-08-13 08:32:00,,194561.9304347826,,
2025-08-13 08:33:00,,216727.65217391305,,
2025-08-13 08:34:00,,267758.98260869563,,
2025-08-13 08:35:00,,246483.01739130434,,
2025-08-13 08:36:00,,196153.0695652174,,
2025-08-13 08:37:00,,218012.2,,
2025-08-13 08:38:00,,269537.6,,
2025-08-13 08:39:00,,248710.59130434782,,
2025-08-13 08:40:00,,197537.0608695652,,
2025-08-13 08:48:00,,,39787.04347826087,
2025-08-13 08:49:00,,,74603.58260869565,
2025-08-13 08:50:00,,,67057.28695652174,
2025-08-13 08:51:00,,,49957.06956521739,
2025-08-13 08:52:00,,,49580.65217391305,
2025-08-13 08:53:00,,,66428.22608695652,
2025-08-13 08:54:00,,,67563.82608695651,
2025-08-13 08:55:00,,,48697.852173913045,
2025-08-13 08:56:00,,,51449.8,
2025-08-13 08:57:00,,,71262.11304347825,
2025-08-13 08:58:00,,,66254.2,
2025-08-13 09:13:00,,,,153562.1739130435
2025-08-13 09:14:00,,,,158593.1739130435
2025-08-13 09:15:00,,,,157820.35652173913
2025-08-13 09:16:00,,,,157899.46956521738
2025-08-13 09:17:00,,,,158790.73913043475
2025-08-13 09:18:00,,,,158890.10434782607
2025-08-13 09:19:00,,,,158798.19130434783
2025-08-13 09:20:00,,,,159038.13043478262
2025-08-13 09:21:00,,,,159446.26086956522
2025-08-13 09:22:00,,,,159322.04347826086
2025-08-13 09:23:00,,,,159482.8608695652
