Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-13 08:13:00,185173.14782608693,,,
2025-08-13 08:14:00,254540.4,,,
2025-08-13 08:15:00,342333.76521739125,,,
2025-08-13 08:16:00,343751.8260869565,,,
2025-08-13 08:17:00,162514.59130434782,,,
2025-08-13 08:18:00,284697.20869565214,,,
2025-08-13 08:19:00,352036.37391304347,,,
2025-08-13 08:20:00,348527.9478260869,,,
2025-08-13 08:21:00,161098.3913043478,,,
2025-08-13 08:22:00,272134.52173913043,,,
2025-08-13 08:23:00,346269.7739130435,,,
2025-08-13 08:30:00,,152854.38260869563,,
2025-08-13 08:31:00,,290081.252173913,,
2025-08-13 08:32:00,,290226.6608695652,,
2025-08-13 08:33:00,,320109.26086956525,,
2025-08-13 08:34:00,,373586.1739130435,,
2025-08-13 08:35:00,,373044.37391304347,,
2025-08-13 08:36:00,,320949.0260869565,,
2025-08-13 08:37:00,,317415.29565217387,,
2025-08-13 08:38:00,,360121.8956521739,,
2025-08-13 08:39:00,,364287.9043478261,,
2025-08-13 08:40:00,,328840.19130434777,,
2025-08-13 08:48:00,,,52996.84347826087,
2025-08-13 08:49:00,,,169358.78260869565,
2025-08-13 08:50:00,,,243382.73043478263,
2025-08-13 08:51:00,,,228724.34782608695,
2025-08-13 08:52:00,,,207126.51304347825,
2025-08-13 08:53:00,,,208504.03478260868,
2025-08-13 08:54:00,,,226314.1652173913,
2025-08-13 08:55:00,,,222503.40869565218,
2025-08-13 08:56:00,,,204842.8608695652,
2025-08-13 08:57:00,,,223730.37391304347,
2025-08-13 08:58:00,,,244106.59130434782,
2025-08-13 09:13:00,,,,165481.13913043478
2025-08-13 09:14:00,,,,209898.98260869563
2025-08-13 09:15:00,,,,208563.96521739132
2025-08-13 09:16:00,,,,245608.852173913
2025-08-13 09:17:00,,,,247111.98260869563
2025-08-13 09:18:00,,,,239180.94782608695
2025-08-13 09:19:00,,,,239239.2347826087
2025-08-13 09:20:00,,,,246169.0695652174
2025-08-13 09:21:00,,,,246728.9043478261
2025-08-13 09:22:00,,,,245326.24347826088
2025-08-13 09:23:00,,,,245445.6347826087
