Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-13 08:13:00,345705.4,,,
2025-08-13 08:14:00,427668.95652173914,,,
2025-08-13 08:15:00,536440.1913043478,,,
2025-08-13 08:16:00,499502.29565217387,,,
2025-08-13 08:17:00,233710.03478260868,,,
2025-08-13 08:18:00,436735.8086956522,,,
2025-08-13 08:19:00,542112.7391304348,,,
2025-08-13 08:20:00,504558.8956521739,,,
2025-08-13 08:21:00,237667.92173913043,,,
2025-08-13 08:22:00,431310.62608695653,,,
2025-08-13 08:23:00,536498.695652174,,,
2025-08-13 08:30:00,,303660.3913043478,,
2025-08-13 08:31:00,,515954.2434782609,,
2025-08-13 08:32:00,,409846.43478260865,,
2025-08-13 08:33:00,,452479.5913043478,,
2025-08-13 08:34:00,,556340.6608695652,,
2025-08-13 08:35:00,,514340.46086956526,,
2025-08-13 08:36:00,,412021.1217391304,,
2025-08-13 08:37:00,,455194.05217391305,,
2025-08-13 08:38:00,,557833.3652173913,,
2025-08-13 08:39:00,,518642.53913043474,,
2025-08-13 08:40:00,,415365.19130434777,,
2025-08-13 08:48:00,,,98071.55652173913,
2025-08-13 08:49:00,,,168404.30434782608,
2025-08-13 08:50:00,,,153476.32173913045,
2025-08-13 08:51:00,,,120191.57391304347,
2025-08-13 08:52:00,,,119043.93913043478,
2025-08-13 08:53:00,,,151981.31304347827,
2025-08-13 08:54:00,,,155894.44347826086,
2025-08-13 08:55:00,,,118232.80869565216,
2025-08-13 08:56:00,,,123647.62608695652,
2025-08-13 08:57:00,,,164026.53043478262,
2025-08-13 08:58:00,,,152674.8608695652,
2025-08-13 09:13:00,,,,324078.73913043475
2025-08-13 09:14:00,,,,336654.04347826086
2025-08-13 09:15:00,,,,334550.51304347825
2025-08-13 09:16:00,,,,334394.29565217387
2025-08-13 09:17:00,,,,336022.1304347826
2025-08-13 09:18:00,,,,336039.1043478261
2025-08-13 09:19:00,,,,336694.62608695653
2025-08-13 09:20:00,,,,336568.37391304347
2025-08-13 09:21:00,,,,338816.28695652174
2025-08-13 09:22:00,,,,338427.4956521739
2025-08-13 09:23:00,,,,337395.26086956525
