Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_14"",instance=""10.42.4.14:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_15"",instance=""10.42.4.15:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_16"",instance=""10.42.4.16:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_17"",instance=""10.42.4.17:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-08-13 12:05:30,,0.4575,,
2025-08-13 12:05:35,,0.4105,,
2025-08-13 12:05:40,,0.3905,,
2025-08-13 12:05:45,,0.422,,
2025-08-13 12:05:50,,0.472,,
2025-08-13 12:05:55,,0.335,,
2025-08-13 12:06:00,,0.4085,,
2025-08-13 12:06:05,,0.3965,,
2025-08-13 12:06:10,,0.4125,,
2025-08-13 12:06:15,,0.417,,
2025-08-13 12:06:20,,0.457,,
2025-08-13 12:06:25,,0.3865,,
2025-08-13 12:06:30,,0.4205,,
2025-08-13 12:06:35,,0.4225,,
2025-08-13 12:06:40,,0.4275,,
2025-08-13 12:06:45,,0.305,,
2025-08-13 12:06:50,,0.428,,
2025-08-13 12:06:55,,0.383,,
2025-08-13 12:07:00,,0.4195,,
2025-08-13 12:07:05,,0.3965,,
2025-08-13 12:07:10,,0.422,,
2025-08-13 12:07:15,,0.398,,
2025-08-13 12:07:20,,0.492,,
2025-08-13 12:07:25,,0.4195,,
2025-08-13 12:07:30,,0.38,,
2025-08-13 12:07:35,,0.3505,,
2025-08-13 12:07:40,,0.406,,
2025-08-13 12:07:45,,0.36,,
2025-08-13 12:07:50,,0.382,,
2025-08-13 12:07:55,,0.4445,,
2025-08-13 12:08:00,,0.3655,,
2025-08-13 12:08:05,,0.4945,,
2025-08-13 12:08:10,,0.4215,,
2025-08-13 12:08:15,,0.398,,
2025-08-13 12:08:20,,0.4235,,
2025-08-13 12:08:25,,0.3735,,
2025-08-13 12:08:30,,0.38,,
2025-08-13 12:08:35,,0.3835,,
2025-08-13 12:08:40,,0.435,,
2025-08-13 12:08:45,,0.3305,,
2025-08-13 12:08:50,,0.462,,
2025-08-13 12:08:55,,0.377,,
2025-08-13 12:09:00,,0.433,,
2025-08-13 12:09:05,,0.3705,,
2025-08-13 12:09:10,,0.3985,,
2025-08-13 12:09:15,,0.402,,
2025-08-13 12:09:20,,0.4465,,
2025-08-13 12:09:25,,0.3545,,
2025-08-13 12:09:30,,0.3715,,
2025-08-13 12:09:35,,0.459,,
2025-08-13 12:09:40,,0.3825,,
2025-08-13 12:09:45,,0.4275,,
2025-08-13 12:09:50,,0.4085,,
2025-08-13 12:09:55,,0.3615,,
2025-08-13 12:10:00,,0.417,,
2025-08-13 12:10:05,,0.4265,,
2025-08-13 12:10:10,,0.362,,
2025-08-13 12:10:15,,0.4355,,
2025-08-13 12:10:20,,0.46,,
2025-08-13 12:10:25,,0.381,,
2025-08-13 12:10:30,,0.436,,
2025-08-13 12:10:35,,0.4225,,
2025-08-13 12:10:40,,0.3975,,
2025-08-13 12:10:45,,0.364,,
2025-08-13 12:10:50,,0.4165,,
2025-08-13 12:10:55,,0.369,,
2025-08-13 12:11:00,,0.4165,,
2025-08-13 12:11:05,,0.3635,,
2025-08-13 12:11:10,,0.4765,,
2025-08-13 12:11:15,,0.423,,
2025-08-13 12:11:20,,0.4765,,
2025-08-13 12:11:25,,0.3875,,
2025-08-13 12:11:30,,0.3955,,
2025-08-13 12:11:35,,0.38,,
2025-08-13 12:11:40,,0.393,,
2025-08-13 12:11:45,,0.372,,
2025-08-13 12:11:50,,0.417,,
2025-08-13 12:11:55,,0.3965,,
2025-08-13 12:12:00,,0.414,,
2025-08-13 12:12:05,,0.436,,
2025-08-13 12:12:10,,0.451,,
2025-08-13 12:12:15,,0.3835,,
2025-08-13 12:12:20,,0.452,,
2025-08-13 12:12:25,,0.4015,,
2025-08-13 12:12:30,,0.3975,,
2025-08-13 12:12:35,,0.3895,,
2025-08-13 12:12:40,,0.393,,
2025-08-13 12:12:45,,0.394,,
2025-08-13 12:12:50,,0.4295,,
2025-08-13 12:12:55,,0.411,,
2025-08-13 12:13:00,,0.4195,,
2025-08-13 12:13:05,,0.429,,
2025-08-13 12:13:10,,0.3665,,
2025-08-13 12:13:15,,0.348,,
2025-08-13 12:13:20,,0.4915,,
2025-08-13 12:13:25,,0.378,,
2025-08-13 12:13:30,,0.416,,
2025-08-13 12:13:35,,0.417,,
2025-08-13 12:13:40,,0.3905,,
2025-08-13 12:13:45,,0.4285,,
2025-08-13 12:13:50,,0.4275,,
2025-08-13 12:13:55,,0.3565,,
2025-08-13 12:14:00,,0.3985,,
2025-08-13 12:14:05,,0.418,,
2025-08-13 12:14:10,,0.3885,,
2025-08-13 12:14:15,,0.3985,,
2025-08-13 12:14:20,,0.429,,
2025-08-13 12:14:25,,0.402,,
2025-08-13 12:14:30,,0.4165,,
2025-08-13 12:14:35,,0.4445,,
2025-08-13 12:14:40,,0.408,,
2025-08-13 12:14:45,,0.327,,
2025-08-13 12:14:50,,0.413,,
2025-08-13 12:14:55,,0.3545,,
2025-08-13 12:15:00,,0.4525,,
2025-08-13 12:28:00,,,0.409,
2025-08-13 12:28:05,,,0.4372549019607843,
2025-08-13 12:28:10,,,0.4147959183673469,
2025-08-13 12:28:15,,,0.3990196078431373,
2025-08-13 12:28:20,,,0.43979591836734694,
2025-08-13 12:28:25,,,0.419,
2025-08-13 12:28:30,,,0.423,
2025-08-13 12:28:35,,,0.3885,
2025-08-13 12:28:40,,,0.40147058823529413,
2025-08-13 12:28:45,,,0.4188775510204082,
2025-08-13 12:28:50,,,0.4196078431372549,
2025-08-13 12:28:55,,,0.4326530612244898,
2025-08-13 12:29:00,,,0.389,
2025-08-13 12:29:05,,,0.4838235294117647,
2025-08-13 12:29:10,,,0.4520408163265306,
2025-08-13 12:29:15,,,0.3995,
2025-08-13 12:29:20,,,0.4055,
2025-08-13 12:29:25,,,0.4075,
2025-08-13 12:29:30,,,0.4205,
2025-08-13 12:29:35,,,0.411,
2025-08-13 12:29:40,,,0.414,
2025-08-13 12:29:45,,,0.4004901960784314,
2025-08-13 12:29:50,,,0.44285714285714284,
2025-08-13 12:29:55,,,0.4115,
2025-08-13 12:30:00,,,0.3995,
2025-08-13 12:30:05,,,0.42990196078431375,
2025-08-13 12:30:10,,,0.4163265306122449,
2025-08-13 12:30:15,,,0.4245,
2025-08-13 12:30:20,,,0.4145,
2025-08-13 12:30:25,,,0.4225,
2025-08-13 12:30:30,,,0.424,
2025-08-13 12:30:35,,,0.39558823529411763,
2025-08-13 12:30:40,,,0.45918367346938777,
2025-08-13 12:30:45,,,0.3857843137254902,
2025-08-13 12:30:50,,,0.412,
2025-08-13 12:30:55,,,0.41,
2025-08-13 12:31:00,,,0.4556122448979592,
2025-08-13 12:31:05,,,0.448,
2025-08-13 12:31:10,,,0.4085,
